Time,Frequ,Polar
46,87.890625,90
47,87.890625,89
48,87.890625,89
49,87.890625,88
50,87.890625,88
51,87.890625,89
52,87.890625,89
53,87.890625,88
54,87.890625,87
55,87.890625,85
56,87.890625,83
57,87.890625,82
58,87.890625,81
59,87.890625,81
60,87.890625,81
61,87.890625,82
62,87.890625,83
63,87.890625,84
64,87.890625,85
65,87.890625,84
66,87.890625,84
67,87.890625,84
68,87.890625,83
69,78.12500000000001,84
70,87.890625,85
71,82.03125,86
72,85.9375,87
73,85.9375,87
74,85.9375,88
75,85.9375,88
76,85.9375,88
77,85.9375,88
78,85.9375,89
79,85.9375,88
80,85.9375,88
81,85.9375,88
82,85.9375,88
83,85.9375,88
84,85.9375,88
85,84.9609375,89
86,84.9609375,89
87,86.9140625,89
88,87.890625,89
89,87.890625,87
90,87.890625,86
91,87.890625,84
92,87.890625,83
93,87.890625,81
94,87.890625,80
95,87.890625,80
96,87.890625,80
97,87.890625,81
98,87.890625,81
99,87.890625,82
100,87.890625,82
101,87.890625,82
102,87.890625,81
103,87.890625,81
104,87.890625,80
105,87.890625,80
106,83.984375,80
107,80.078125,80
108,80.078125,81
109,80.078125,82
110,80.078125,83
111,80.078125,84
112,80.078125,84
113,80.078125,85
114,80.078125,85
115,80.078125,85
116,80.078125,86
117,80.078125,86
118,80.078125,86
119,80.078125,87
120,82.03125,87
121,82.03125,86
122,82.03125,86
123,82.03125,85
124,82.03125,85
125,85.9375,85
126,85.9375,86
127,85.9375,86
128,85.9375,86
129,85.9375,85
130,85.9375,85
131,85.9375,85
132,85.9375,85
133,85.9375,84
134,85.9375,84
135,85.9375,85
136,85.9375,85
137,85.9375,86
138,85.9375,86
139,85.9375,86
140,85.9375,86
141,85.9375,86
142,85.9375,85
143,85.9375,85
144,85.9375,85
145,85.9375,85
146,85.9375,86
147,85.9375,85
148,85.9375,85
149,85.9375,84
150,85.9375,84
151,85.9375,83
152,85.9375,83
153,85.9375,83
154,85.9375,83
155,85.9375,83
156,85.9375,84
157,85.9375,84
158,84.9609375,83
159,83.98437500000001,83
160,83.98437500000001,83
161,83.98437500000001,83
162,83.98437500000001,83
163,83.98437500000001,84
164,83.98437500000001,85
165,83.98437500000001,86
166,83.98437500000001,86
167,83.98437500000001,87
168,83.98437500000001,88
169,83.98437500000001,88
170,83.98437500000001,87
171,83.98437500000001,87
172,83.98437500000001,87
173,83.98437500000001,87
174,83.98437500000001,86
175,83.98437500000001,86
176,83.98437500000001,86
177,83.98437500000001,87
178,83.98437500000001,87
179,85.9375,87
180,85.9375,88
