time;interpolated Pixel leftCheek
0;202.0413822525597
0.027;202.0451261651504
0.057;202.04928606802895
0.087;202.05344597090746
0.117;202.057605873786
0.147;202.06176577666454
0.177;202.06592567954308
0.207;202.07008558242163
0.237;202.07424548530017
0.267;202.0784053881787
0.297;202.08256529105725
0.327;202.0867251939358
0.357;202.0908850968143
0.387;202.09504499969285
0.417;202.0992049025714
0.447;202.10336480544993
0.477;202.10752470832847
0.507;202.111684611207
0.537;202.11584451408555
0.567;202.1200044169641
0.597;202.12416431984263
0.627;202.12832422272115
0.657;202.1324841255997
0.687;202.13664402847823
0.717;202.14080393135677
0.747;202.1449638342353
0.777;202.14912373711385
0.807;202.1532836399924
0.837;202.15744354287094
0.867;202.16160344574948
0.897;202.20124188540785
0.927;202.25167814060794
0.957;202.4805580088976
0.987;202.9133734350039
1.017;203.33753862492082
1.047;203.51084696534474
1.077;203.68415530576863
1.107;203.5744845157648
1.137;203.4075346594334
1.167;203.47469016557528
1.197;203.56246757417793
1.227;203.3751113888097
1.257;203.2907498434517
1.287;203.40259622853353
1.317;203.5144426136154
1.347;203.62628899869722
1.377;203.65741047083384
1.407;203.53060783041315
1.437;203.25007071665087
1.467;203.01867832055603
1.497;202.98386479513104
1.527;202.94905126970605
1.557;203.10542692157074
1.587;203.1024953226788
1.617;202.84153079353217
1.647;202.52029826014913
1.677;202.5984282677143
1.707;203.1036245340637
1.737;203.37295041054182
1.767;203.33383039257282
1.797;203.3019157338207
1.827;203.30602787115305
1.857;203.31014000848538
1.887;203.2488144758878
1.917;203.07639179573044
1.947;202.8817496860611
1.977;202.7655099969292
2.007;202.81380425320233
2.037;202.98148492749823
2.067;203.1086334173268
2.097;203.22003381126703
2.127;202.8747394244458
2.157;202.52944503762458
2.187;202.38434349602468
2.217;202.1382020434073
2.247;202.00600066347718
2.277;202.00016030684924
2.307;201.01663135593222
2.337;200.5229257279944
2.367;200.2857009810614
2.397;199.98378575422487
2.427;199.70501762196253
2.457;199.65038780647762
2.487;199.3519478084833
2.517;199.05350781048895
2.547;198.85510526874688
2.577;198.66781799992174
2.607;198.5035561877667
2.637;198.48431935314375
2.667;198.85252254873436
2.697;199.14510328775094
2.727;199.5194824567147
2.757;199.84748593048238
2.787;200.15404937914673
2.817;200.46061282781105
2.847;200.80616735258732
2.877;201.0301145328445
2.907;201.06014960781866
2.937;200.9147417051659
2.967;200.860100692723
2.997;200.8546365914787
3.027;200.87750839786034
3.057;200.90734118879288
3.087;200.44415396700708
3.117;199.5495742340927
3.147;198.85139015099483
3.177;198.61863832563742
3.207;198.4217652077896
3.237;198.2248920899418
3.267;197.8510197227397
3.297;197.45748077227603
3.327;197.47601903832071
3.357;197.71675887662218
3.387;197.9923670479618
3.417;198.39725999467439
3.447;199.01594448623945
3.477;199.4107389483376
3.507;199.7996150374127
3.537;200.14892244650176
3.567;200.88669012849743
3.597;201.43880129979541
3.627;201.71654445880424
3.657;202.0187691794919
3.687;201.73835776365289
3.717;201.76036211946393
3.747;202.14894159936097
3.777;202.537521079258
3.807;203.22319339794302
3.837;203.20635601004224
3.867;203.32847635014937
3.897;203.6774054982818
3.927;204.08743390200308
3.957;204.4624722758114
3.987;204.70784263004361
4.017;204.62878917357642
4.047;204.54973571710926
4.077;204.30384966247036
4.107;203.99407871821666
4.137;203.79367873620748
4.167;203.7207326007326
4.197;203.6398944193062
4.227;203.25678733031674
4.257;202.66600669640027
4.287;202.4481930981718
4.317;202.30640513842528
4.347;202.21801216559382
4.377;202.12873097521853
4.407;202.03205472445978
4.437;202.014776154432
4.467;201.84014194178354
4.497;201.6655077291351
4.527;201.8403407218194
4.557;201.92431982690238
4.587;201.84439091841742
4.617;201.8106695213881
4.647;201.83130677847657
4.677;201.82526822049576
4.707;201.72112467628563
4.737;201.72110081909682
4.767;201.93311620881715
4.797;201.84624043444137
4.827;201.7449233062551
4.857;201.6789304548451
4.887;201.64364442567566
4.917;201.63919814701063
