Count;Frequencies leftCheek
45.589;60.54687500000001
46.049;60.54687500000001
46.582;60.54687500000001
47.077;60.54687500000001
47.489;60.54687500000001
47.982;60.54687500000001
48.477;60.54687500000001
48.966;82.03125
49.409;82.03125
49.905;82.03125
50.393;82.03125
50.888;82.03125
51.336;82.03125
51.835;82.03125
52.293;82.03125
52.809;82.03125
53.25;82.03125
53.758;82.03125
54.261;82.03125
54.736;82.03125
55.18;82.03125
55.65;82.03125
56.144;82.03125
56.664;82.03125
57.112;82.03125
57.585;82.03125
58.058;82.03125
58.545;82.03125
59.022;87.890625
59.489;87.890625
59.987;87.890625
60.469;87.890625
60.934;87.890625
61.417;87.890625
61.927;87.890625
62.38;87.890625
62.916;87.890625
63.361;87.890625
63.82;87.890625
64.309;87.890625
64.822;87.890625
65.309;87.890625
65.767;87.890625
66.22;87.890625
66.706;87.890625
67.17;87.890625
67.667;87.890625
68.138;87.890625
68.625;87.890625
69.102;87.890625
69.583;87.890625
70.046;87.890625
70.53;87.890625
71.023;87.890625
71.509;87.890625
71.985;87.890625
72.453;87.890625
72.929;87.890625
73.429;87.890625
73.912;87.890625
74.371;87.890625
74.891;87.890625
75.334;87.890625
75.809;70.3125
76.302;70.3125
76.789;70.3125
77.275;70.3125
77.729;70.3125
78.214;70.3125
78.714;70.3125
79.209;70.3125
79.664;70.3125
80.154;70.3125
80.625;70.3125
81.097;70.3125
81.579;70.3125
82.078;70.3125
82.548;70.3125
83.009;60.54687500000001
83.508;60.54687500000001
83.976;60.54687500000001
84.498;60.54687500000001
84.987;60.54687500000001
85.419;60.54687500000001
85.889;60.54687500000001
86.37;60.54687500000001
86.846;60.54687500000001
87.371;60.54687500000001
87.838;60.54687500000001
88.289;60.54687500000001
88.791;60.54687500000001
89.254;60.54687500000001
89.751;60.54687500000001
90.234;60.54687500000001
90.71;64.453125
91.215;64.453125
91.652;64.453125
92.128;64.453125
92.665;64.453125
93.113;64.453125
93.596;64.453125
94.047;64.453125
94.526;64.453125
95.02;64.453125
95.547;74.21875
95.987;74.21875
96.474;74.21875
96.932;74.21875
97.431;74.21875
97.894;72.26562500000001
98.398;72.26562500000001
98.865;72.26562500000001
99.395;72.26562500000001
99.811;72.26562500000001
100.317;72.26562500000001
100.767;72.26562500000001
101.293;72.26562500000001
101.726;78.12500000000001
102.229;78.12500000000001
102.729;78.12500000000001
103.171;78.12500000000001
103.647;66.40625000000001
104.156;66.40625000000001
104.612;66.40625000000001
105.092;66.40625000000001
105.576;66.40625000000001
106.065;66.40625000000001
106.554;66.40625000000001
107.026;66.40625000000001
107.512;66.40625000000001
107.986;66.40625000000001
108.453;66.40625000000001
108.985;66.40625000000001
109.432;66.40625000000001
109.901;66.40625000000001
110.366;66.40625000000001
110.857;66.40625000000001
111.417;66.40625000000001
111.816;66.40625000000001
112.339;74.21875
112.785;74.21875
113.308;74.21875
113.778;74.21875
114.23;74.21875
114.697;74.21875
115.212;74.21875
115.667;74.21875
116.145;78.12500000000001
116.614;78.12500000000001
117.104;78.12500000000001
117.582;78.12500000000001
118.062;78.12500000000001
118.55;78.12500000000001
119.048;78.12500000000001
119.498;62.50000000000001
119.97;62.50000000000001
120.475;62.50000000000001
120.937;62.50000000000001
121.433;62.50000000000001
121.907;62.50000000000001
122.369;62.50000000000001
122.875;62.50000000000001
123.333;62.50000000000001
123.864;62.50000000000001
124.293;62.50000000000001
124.781;62.50000000000001
125.263;62.50000000000001
125.767;62.50000000000001
126.207;70.3125
126.717;70.3125
127.174;62.50000000000001
127.659;62.50000000000001
128.148;64.453125
128.609;64.453125
129.107;64.453125
129.615;64.453125
130.06;64.453125
130.556;64.453125
131.033;64.453125
131.513;64.453125
131.988;64.453125
132.467;64.453125
132.932;64.453125
133.445;64.453125
133.898;64.453125
134.385;64.453125
134.848;64.453125
135.326;64.453125
135.83;64.453125
136.318;64.453125
136.776;64.453125
137.276;64.453125
137.745;64.453125
138.262;64.453125
138.718;64.453125
139.175;64.453125
139.684;64.453125
140.143;64.453125
140.608;64.453125
141.115;64.453125
141.577;64.453125
142.094;64.453125
142.55;64.453125
143.053;64.453125
143.518;64.453125
143.999;64.453125
144.478;64.453125
144.975;64.453125
145.425;64.453125
145.934;64.453125
146.404;64.453125
146.876;64.453125
147.363;64.453125
147.871;64.453125
148.302;64.453125
148.795;64.453125
149.252;64.453125
149.763;76.171875
150.214;64.453125
150.705;60.54687500000001
151.225;60.54687500000001
151.659;78.12500000000001
152.155;78.12500000000001
152.615;78.12500000000001
153.109;78.12500000000001
153.578;78.12500000000001
154.065;78.12500000000001
154.565;78.12500000000001
155.092;78.12500000000001
155.522;78.12500000000001
155.982;78.12500000000001
156.476;78.12500000000001
156.974;78.12500000000001
157.419;78.12500000000001
157.91;82.03125
158.39;82.03125
158.866;82.03125
159.36;82.03125
159.825;82.03125
160.33;82.03125
160.772;82.03125
161.25;82.03125
161.754;82.03125
162.22;82.03125
162.701;82.03125
163.184;82.03125
163.705;82.03125
164.131;70.3125
164.606;74.21875
165.104;74.21875
165.593;74.21875
166.109;74.21875
166.592;74.21875
167.03;74.21875
167.513;74.21875
167.973;70.3125
168.482;56.64062500000001
168.93;56.64062500000001
169.407;56.64062500000001
169.895;56.64062500000001
170.376;56.64062500000001
170.862;56.64062500000001
171.356;56.64062500000001
171.81;56.64062500000001
172.308;56.64062500000001
172.818;56.64062500000001
173.246;56.64062500000001
173.746;56.64062500000001
174.206;56.64062500000001
174.703;56.64062500000001
175.19;56.64062500000001
175.657;78.12500000000001
176.186;78.12500000000001
