Count;Frequencies leftCheek
45.589;74.21875
46.049;74.21875
46.582;74.21875
47.077;74.21875
47.489;74.21875
47.982;74.21875
48.477;74.21875
48.966;74.21875
49.409;74.21875
49.905;74.21875
50.393;74.21875
50.888;74.21875
51.336;74.21875
51.835;74.21875
52.293;74.21875
52.809;74.21875
53.25;74.21875
53.758;74.21875
54.261;74.21875
54.736;74.21875
55.18;74.21875
55.65;74.21875
56.144;74.21875
56.664;74.21875
57.112;74.21875
57.585;74.21875
58.058;74.21875
58.545;74.21875
59.022;74.21875
59.489;74.21875
59.987;74.21875
60.469;74.21875
60.934;74.21875
61.417;74.21875
61.927;74.21875
62.38;74.21875
62.916;74.21875
63.361;74.21875
63.82;74.21875
64.309;74.21875
64.822;74.21875
65.309;74.21875
65.767;74.21875
66.22;74.21875
66.706;74.21875
67.17;74.21875
67.667;74.21875
68.138;74.21875
68.625;74.21875
69.102;74.21875
69.583;74.21875
70.046;74.21875
70.53;74.21875
71.023;74.21875
71.509;74.21875
71.985;74.21875
72.453;74.21875
72.929;74.21875
73.429;74.21875
73.912;74.21875
74.371;74.21875
74.891;74.21875
75.334;74.21875
75.809;74.21875
76.302;74.21875
76.789;74.21875
77.275;74.21875
77.729;74.21875
78.214;74.21875
78.714;74.21875
79.209;74.21875
79.664;74.21875
80.154;74.21875
80.625;74.21875
81.097;74.21875
81.579;74.21875
82.078;74.21875
82.548;74.21875
83.009;74.21875
83.508;74.21875
83.976;74.21875
84.498;74.21875
84.987;74.21875
85.419;74.21875
85.889;74.21875
86.37;74.21875
86.846;74.21875
87.371;74.21875
87.838;74.21875
88.289;74.21875
88.791;74.21875
89.254;74.21875
89.751;74.21875
90.234;74.21875
90.71;74.21875
91.215;74.21875
91.652;74.21875
92.128;74.21875
92.665;74.21875
93.113;74.21875
93.596;74.21875
94.047;74.21875
94.526;74.21875
95.02;74.21875
95.547;73.61875
95.987;73.01875
96.474;72.41875
96.932;71.81875000000001
97.431;71.21875
97.894;70.61875
98.398;70.01875
98.865;69.41875
99.395;68.81875
99.811;68.21875
100.317;64.453125
100.767;64.453125
101.293;64.453125
101.726;64.453125
102.229;64.453125
102.729;66.40625000000001
103.171;66.40625000000001
103.647;67.00625000000001
104.156;67.60625000000002
104.612;68.20625000000001
105.092;68.80625
105.576;69.40625000000001
106.065;70.00625000000001
106.554;70.60625000000002
107.026;71.20625000000001
107.512;71.80625000000002
107.986;72.40625000000001
108.453;73.00625000000001
108.985;73.60625000000002
109.432;74.20625000000001
109.901;78.12500000000001
110.366;78.12500000000001
110.857;78.12500000000001
111.417;78.12500000000001
111.816;78.12500000000001
112.339;78.12500000000001
112.785;78.12500000000001
113.308;78.12500000000001
113.778;78.12500000000001
114.23;78.12500000000001
114.697;78.12500000000001
115.212;78.12500000000001
115.667;78.12500000000001
116.145;74.21875
116.614;74.21875
117.104;74.21875
117.582;74.21875
118.062;74.21875
118.55;74.21875
119.048;74.21875
119.498;74.21875
119.97;74.21875
120.475;74.21875
120.937;74.21875
121.433;74.21875
121.907;74.21875
122.369;74.21875
122.875;74.21875
123.333;74.21875
123.864;74.21875
124.293;74.21875
124.781;74.21875
125.263;74.21875
125.767;74.21875
126.207;74.21875
126.717;74.21875
127.174;72.26562500000001
127.659;72.26562500000001
128.148;72.26562500000001
128.609;72.26562500000001
129.107;72.26562500000001
129.615;72.26562500000001
130.06;72.26562500000001
130.556;72.26562500000001
131.033;72.26562500000001
131.513;72.26562500000001
131.988;72.26562500000001
132.467;72.26562500000001
132.932;72.26562500000001
133.445;72.26562500000001
133.898;72.26562500000001
134.385;72.26562500000001
134.848;72.26562500000001
135.326;72.26562500000001
135.83;72.26562500000001
136.318;72.26562500000001
136.776;72.26562500000001
137.276;72.26562500000001
137.745;72.26562500000001
138.262;72.26562500000001
138.718;72.26562500000001
139.175;72.26562500000001
139.684;72.26562500000001
140.143;72.26562500000001
140.608;72.26562500000001
141.115;72.26562500000001
141.577;72.26562500000001
142.094;72.26562500000001
142.55;72.26562500000001
143.053;72.26562500000001
143.518;72.26562500000001
143.999;72.26562500000001
144.478;72.26562500000001
144.975;72.26562500000001
145.425;72.26562500000001
145.934;72.26562500000001
146.404;72.26562500000001
146.876;72.26562500000001
147.363;72.26562500000001
147.871;72.26562500000001
148.302;72.26562500000001
148.795;72.26562500000001
149.252;72.26562500000001
149.763;72.26562500000001
