time;Pixel forehead
0;215.58045194663762
1.033;216.09047237790233
1.134;216.23538831064852
1.168;217.51805629314924
1.235;217.10317668679443
1.3;217.26936203728013
1.336;217.32423208191128
1.373;217.16382252559728
1.407;216.9936322631998
1.444;216.80525338286017
1.478;216.5162493340437
1.516;216.5162493340437
1.583;216.95616365568543
1.65;216.58510638297872
1.685;216.75
1.722;216.98378952963063
1.758;216.97315971299494
1.825;216.7477935276812
1.88;216.99144156191494
1.948;217.49666221628837
2.033;216.83444950442004
2.069;216.99678542727028
2.103;216.99678542727028
2.138;217.31578947368422
2.204;216.39165115660728
2.242;216.6843924488168
2.278;217.57127827459232
2.31;217.65623356128353
2.386;216.97563559322035
2.443;217.30905720338984
2.51;216.10056925996204
2.576;217.08469055374593
2.612;217.15526601520088
2.679;216.9757954854501
2.714;217.2031547457166
2.781;217.27034190299497
2.815;217.29021998409755
2.85;216.83878755364807
2.926;217.4266139657444
2.962;217.41106719367588
3.029;217.33465085639
3.063;216.76925105485233
3.098;216.83755274261603
3.165;217.26057262936695
3.2;217.25636984502233
3.24;217.08091723774382
3.307;217.02609383236688
3.341;217.2321615949633
3.375;217.43231899265479
3.411;217.57922350472194
3.445;217.3804232804233
3.481;217.36349206349206
3.548;217.2986294148656
3.582;217.24565102793886
3.649;217.05502645502645
3.694;216.8373015873016
3.729;217.45967316816026
3.763;217.45071164997364
3.798;217.46652609383236
3.836;217.2537589026642
3.869;217.28224742811923
3.902;217.23212872592984
3.937;217.59906029757244
3.971;217.68363351605325
4.007;217.14504411001556
4.042;217.14608199273482
4.109;217.89520103761348
4.143;217.92736705577173
4.179;218.08897535667964
4.221;217.28268828451883
4.255;217.10930962343096
4.295;217.4755905511811
4.363;217.45879265091864
4.395;217.06367924528303
4.429;217.28301886792454
4.465;216.95082829345253
4.498;217.06047856955036
4.566;217.01399524689728
4.599;216.9854766305783
4.666;217.39424346448376
4.7;217.27708006279434
4.734;217.14521193092622
4.768;217.272632129775
4.802;217.50994243851386
4.835;217.79053876478318
4.869;217.93455978975032
4.904;217.46341463414635
4.938;217.460529766588
4.974;217.72324239244492
5.009;217.87932843651626
5.053;217.07726558407543
5.122;217.2129387113672
5.156;217.91860769432085
5.19;217.67992672075374
5.226;216.948859166011
5.26;216.9703645423551
5.294;217.08707054812484
5.344;217.7248234370913
5.378;217.67198535181794
5.414;217.33174854727946
5.482;217.38695192815638
5.522;217.74546410728374
5.555;217.64291348935052
5.589;217.83565606100447
5.624;217.5944370860927
5.659;217.33324503311258
5.725;217.5211267605634
5.769;217.35158118522455
5.805;217.43635397289395
5.839;216.05158069883527
5.873;216.0890183028286
5.907;216.18691070438157
5.97;217.2700768619136
6.014;217.3371322554996
6.049;216.7021505376344
6.083;216.63978494623655
6.149;217.57311630349173
6.183;217.574691520084
6.218;216.72612660944205
6.251;216.72612660944205
6.285;217.68551143833815
6.319;217.71417302129896
6.353;216.55293487000804
6.419;216.53149289734657
6.456;216.22567676226214
6.522;217.74482401656314
6.556;217.64648033126295
6.589;216.24063745019922
6.624;216.16733067729083
6.659;217.39485429246523
6.693;217.44604883171436
6.726;217.40351798372276
6.762;216.8411561919915
6.808;217.05383187483426
6.842;217.05383187483426
6.875;217.60735215769844
6.91;217.6004262120405
6.947;217.6715503462973
6.98;217.17301973506352
7.048;217.09894566098944
7.081;216.98864557988645
7.114;217.08297985153766
7.149;217.12751855779428
7.182;216.68704746580852
7.249;216.4818986323411
7.315;217.01168969181722
7.349;217.1471838469713
7.383;216.55644729802034
7.45;216.61610486891385
7.484;216.7887473460722
7.518;216.86279193205945
7.553;216.29523554603855
7.586;216.40497858672376
7.624;216.42344753747324
7.673;217.02094379639448
7.707;216.94962884411453
7.774;216.5857908847185
7.839;217.12988047808764
7.873;216.9235059760956
7.907;216.23971138428647
7.941;216.2316942811331
8.02;216.89726747241198
8.054;216.98449816079875
8.09;216.98449816079875
8.125;216.29707225355895
8.159;216.12409347300564
8.197;216.28444802578565
8.236;217.16785808842997
8.27;217.292824993381
8.304;216.5350971922246
8.338;216.53914686825053
8.407;217.32995465457455
8.473;216.86003782761415
8.506;217.11699540664685
8.54;217.65716568993074
8.574;217.7938199254129
8.608;217.50591016548464
8.642;217.44575781455214
8.677;217.44575781455214
8.73;217.56524049960137
8.764;217.40021259633272
8.798;217.40951368588892
8.839;217.37526260504202
8.874;217.52547268907563
8.908;217.73202614379085
8.942;217.66718954248367
8.978;217.70875816993464
9.045;217.25436994521263
9.082;217.34898806434873
9.116;217.54852101712507
9.154;217.35184224182666
9.188;216.9264667535854
9.222;217.18279009126468
9.256;217.01825293350717
9.291;217.71635986518018
9.358;217.83017889551465
9.395;217.2583246618106
9.429;217.36446409989594
9.463;217.89950917075691
9.497;217.91888400929992
9.531;218.15293205889952
9.577;217.3844142259414
9.613;217.3972280334728
9.653;218.1514915693904
9.688;218.03346303501945
9.723;217.91180285343708
9.76;217.62959103933315
9.794;217.5561344100026
9.86;217.60823131023704
9.894;218.0012933264356
9.928;218.0012933264356
9.962;217.92928496319664
9.996;218.03286014721346
10.033;218.32073011734028
10.065;218.32177314211214
10.102;217.97955439056358
10.137;218.06395806028834
10.171;218.02149410222805
10.237;218.66718386346005
10.271;218.63149728471683
10.307;218.3072509128847
10.347;218.59937402190923
10.382;218.6434533124674
10.417;218.59347258485639
10.45;218.63394255874672
10.484;218.67167325428196
10.518;218.7718050065876
10.553;218.5928759894459
10.587;218.467018469657
10.621;218.467018469657
10.654;217.48736957715542
10.689;217.53047775947283
10.722;217.5587668593449
10.756;217.33553537021746
10.789;217.73810178817055
10.856;217.87730398899586
10.89;217.95268225584593
10.925;217.9793672627235
10.96;218.5394279604384
10.994;218.51109329056402
11.031;218.38333333333333
11.066;218.44543010752687
11.1;218.79075942644715
11.134;218.79075942644715
11.168;218.5728077232502
11.202;218.67417538214
11.236;218.6013655462185
11.27;218.6793592436975
11.304;218.7622322137001
11.371;218.4588733139381
11.405;218.37423961914837
11.44;218.54982726547968
11.473;218.352909912304
11.507;218.44851198314458
11.541;218.25678166973927
11.575;218.27655099894847
11.646;218.1614090431125
11.68;218.1233817701453
11.713;218.0660501981506
11.782;218.36689691817216
11.817;218.39558979808714
11.851;217.7531712473573
11.918;217.91992600422833
11.954;218.30131578947368
11.988;218.31
12.024;218.10137638962414
12.059;218.29698253043938
12.092;218.39308342133052
12.147;218.40707497360086
12.187;218.39058319957195
12.223;218.44569288389513
12.256;218.24530299020904
12.29;218.17703096057159
12.327;218.07806297962424
12.363;218.21089161772557
12.395;217.9578216764549
12.463;217.837559429477
12.498;217.95589012150026
12.531;217.83430386447856
12.564;217.88777130757015
12.598;217.88327157226047
12.631;217.57619428876436
12.665;217.78916466506539
12.732;217.8672331386086
12.764;217.66861391396708
12.798;217.59520639147803
12.832;217.60692410119842
12.865;217.5672514619883
12.932;217.65417331206805
12.97;217.78096757044125
13.007;217.92225201072387
13.058;217.94664879356569
13.092;218.11926848661543
13.126;217.8338192419825
13.16;217.76624765980208
13.194;217.42872425782295
13.261;217.48807290270705
13.294;217.56553202894668
13.328;217.36033146217588
13.395;216.6249658563234
13.429;216.7178366566512
13.463;216.65583173996177
13.497;216.56541928434854
13.532;216.88710570005534
13.565;217.05478693967902
13.6;217.723991507431
13.634;217.6690552016985
13.668;217.18741633199465
13.702;217.2912985274431
13.749;217.90527704485487
13.783;217.80316622691294
13.819;217.71635883905014
13.852;217.55667640031857
13.919;217.56304751791876
13.953;217.69575596816975
13.986;217.65172413793104
14.02;217.51273209549072
14.053;217.4
14.086;217.10517928286853
14.12;217.33520149452895
14.154;217.36615959434215
14.224;217.111551678562
14.258;217.0742796722178
14.292;217.10441448585777
14.326;217.0431654676259
14.36;217.2099653610445
14.393;217.20842217484008
14.425;217.00106609808103
14.492;216.99624362758252
14.561;216.86664877917897
14.595;216.7233700026831
14.629;217.20369379014988
14.663;217.11911134903642
14.696;216.8120160213618
14.73;216.67556742323097
14.796;216.5183315621679
14.83;216.4298618490967
14.867;216.47432827879754
14.902;216.37217345038573
14.935;216.44008540165467
14.971;216.45423005070722
15.006;216.36375767280492
15.072;216.5112
15.105;216.5376
15.14;216.65573333333333
15.174;216.72922252010724
15.207;216.4745308310992
15.245;216.78900804289543
15.279;216.489855846236
15.311;216.46209289909237
15.345;216.45274959957288
15.378;216.48031283710895
15.412;216.67610571736785
15.445;216.51024811218986
15.513;216.65044129446375
15.546;216.47552821610057
15.58;216.27918781725887
15.614;216.1432006411969
15.649;216.12566988210074
15.698;216.15728831725616
15.736;216.0364415862808
15.769;216.23653333333334
15.836;216.3136
15.87;216.15844298245614
15.904;216.10224780701753
15.937;216.14879174585934
15.972;216.17811566657616
16.005;216.38451196558213
16.039;216.43721430492067
16.121;216.69906291834002
16.155;216.64149933065596
16.189;216.58893911193832
16.222;216.6511566072853
16.257;216.62855623504387
16.29;216.4254187716033
16.336;216.50131856540085
16.37;216.49709915611814
16.404;216.47519788918206
16.438;216.5873350923483
16.472;216.38951804055833
16.506;216.50618909665525
16.54;216.47719483258635
16.575;216.4798312681255
16.609;216.43863337713535
16.646;216.41392904073587
16.713;216.87007874015748
16.747;216.8989501312336
16.781;216.67284277395447
16.815;216.83853890947591
16.848;216.4771345492995
16.917;216.71451229183188
16.951;217.11066773077945
16.985;217.04043628624635
17.029;216.88618103910017
17.065;216.78655597214782
17.1;216.87279057311196
17.133;216.1571897211591
17.167;215.91962821213778
17.209;217.06691449814127
17.254;216.93308550185873
17.288;217.0693043016463
17.322;216.2505382131324
17.355;216.30947255113026
17.392;216.93814432989691
17.425;216.92677768966428
17.476;216.4762675296656
17.509;216.4487594390507
17.542;216.52211434735707
17.576;217.57911227154048
17.643;216.28613569321533
17.678;216.56315366049878
17.713;217.24515272244355
17.747;217.37104913678618
17.781;217.41620185922974
17.848;216.90967397113843
17.907;216.93345804382682
17.948;217.46237127013467
17.981;217.51333509374174
18.015;217.36651703195142
18.049;216.784151547492
18.082;216.5848452508004
18.115;216.77724867724868
18.149;216.85449735449737
18.195;216.94465141032464
18.229;216.8424693986163
18.3;216.74251336898396
18.364;216.7360962566845
18.397;216.5760752688172
18.431;216.5228494623656
18.465;216.48426666666666
18.529;216.50293333333335
18.596;216.5661744966443
18.63;216.60080536912753
18.664;216.96931216931216
18.699;216.95185185185184
18.732;216.56248320343994
18.766;216.49126578876647
18.805;217.28668763102726
18.839;217.33411949685535
18.93;217.52279874213838
18.964;216.5711229946524
18.999;216.41042780748663
19.033;216.86731991525423
19.071;216.6438029661017
19.107;216.32097770615096
19.142;216.2215954875101
19.21;215.98334676336287
19.244;216.20174973488866
19.282;216.02200424178156
19.323;216.12751855779428
19.363;215.96303291958986
19.399;216.05207771181867
19.465;216.0358470525757
19.514;216.11922464152948
19.548;216.28359001593202
19.584;215.3784002154592
19.619;215.43280366280635
19.686;216.4598578573309
19.753;215.80837359098228
19.79;216.0475040257649
19.828;215.96108427267848
19.894;216.41855561412757
19.959;216.26377428799574
19.996;216.29491615650784
20.032;216.67035281727226
20.066;216.66929963138494
20.136;216.4478672985782
20.204;215.44131832797427
20.237;215.31243301178992
20.275;215.84016824395374
20.341;216.0136698212408
20.376;215.24157303370785
20.41;215.19769930444087
20.444;215.9408361819616
20.477;216.0846699973705
20.527;215.09277238403453
20.561;214.88781014023732
20.597;215.870164281929
20.631;215.94647588765235
20.665;215.97058823529412
20.699;215.94329623741388
20.734;215.41830417227456
20.768;215.6678331090175
20.84;216.26700185234188
20.903;215.41102150537634
20.937;215.55806451612904
20.974;216.72947368421052
21.008;216.83552631578948
21.051;215.88380849919312
21.091;215.757934373319
21.128;215.57988165680473
21.166;216.0806324110672
21.205;215.9791831357049
21.239;215.73465085638998
21.278;214.94313934863854
21.312;215.14602242391885
21.347;216.0283315844701
21.38;215.78515215110178
21.446;215.04142011834318
21.489;215.23453469607315
21.556;215.10112963959116
21.59;215.76312283506527
21.623;215.76312283506527
21.66;215.6257751415476
21.695;215.8269075222432
21.729;216.1044229259356
21.763;216.11096571578122
21.848;216.26114819759678
21.883;216.29452603471296
21.951;216.30283911671924
21.985;216.45504731861197
22.019;215.20781723093862
22.085;215.00330305532617
22.119;215.3785675821217
22.156;215.45745826602047
22.222;215.65906652360516
22.256;215.47934549356222
22.289;215.59167750325096
22.323;215.6002600780234
22.39;215.50923276983096
22.424;215.08355367530407
22.458;215.12638815441565
22.491;215.86788036410923
22.526;215.99817945383614
22.593;215.54026934248745
22.642;215.68471085291787
22.676;216.0540893650379
22.71;215.97334726940161
22.744;215.76610790990048
22.778;215.8672079622839
22.816;215.89261393399687
22.861;216.2908428720083
22.895;216.29188345473466
22.929;216.52055150884496
22.974;216.3354447083663
23.01;216.3507521773555
23.045;216.15597783056216
23.079;216.74934929724103
23.113;216.63899010931806
23.152;215.9390211986391
23.202;215.91886940591468
23.236;215.85605862339702
23.27;216.51939989653388
23.302;216.48525607863425
23.337;215.64644076700813
23.372;215.80588389808247
23.411;215.82111899133176
23.445;216.61131198347107
23.482;216.73011363636363
23.55;216.09617884065506
23.584;216.26852092539642
23.62;216.78072661685133
23.654;216.90878639525894
23.687;216.26988710947757
23.72;216.2709372538724
23.754;216.22656865318982
23.789;217.0606531881804
23.824;217.09564541213064
23.857;217.02877138413686
23.89;216.64535490605428
23.924;216.5785490605428
23.958;216.93706474077896
23.993;216.93242197575444
24.028;216.94248129997422
24.094;216.7039748953975
24.131;216.5274581589958
24.17;216.58943514644352
24.206;216.91809227579057
24.24;217.01399688958008
24.273;216.53063885267275
24.307;216.77757496740549
24.341;217.63057978450487
24.375;217.61441765007697
24.45;216.74721862871928
24.516;217.62699228791774
24.55;217.76863753213368
24.584;217.70796915167094
24.618;217.0489455870867
24.651;216.94480604009374
24.719;217.51560062402496
24.754;217.46619864794593
24.793;216.67172377713837
24.826;216.63641119539628
24.872;217.53355879292403
24.907;217.45395421436004
24.942;217.72216441207075
24.976;216.99947930226503
25.044;216.97266336891434
25.078;217.49068804966373
25.111;217.5351784790481
25.145;217.63683393688567
25.178;217.06913516312792
25.212;217.0647332988089
25.251;217.2622993267737
25.307;217.80453257790367
25.342;217.95544681946947
25.375;217.60391449909864
25.411;216.92903730759195
25.478;216.7858074615184
25.511;217.316705637828
25.577;217.19537542218757
25.611;216.4363920750782
25.682;216.47471324296143
25.721;216.97586296392421
25.759;217.0189462756294
25.827;217.0420451596159
25.861;216.71934816347647
25.895;216.84945680289704
25.929;216.1641281512605
25.962;216.2316176470588
25.997;216.2316176470588
26.031;215.53555917480998
26.097;215.63246471226927
26.133;217.05387205387206
26.167;217.07148407148406
26.201;217.07174307174307
26.235;215.62292531120332
26.305;216.04747162022704
26.339;215.92853457172342
26.374;215.8341073271414
26.408;215.2573491490459
26.442;215.30634347601855
26.491;215.56743713487427
26.534;215.78079756159514
26.575;215.86436372872745
26.608;215.35586277521762
26.642;215.52611367127497
26.676;215.38053998981152
26.71;215.59144167091188
26.743;215.74599542334096
26.777;215.66819221967964
26.825;216.11094108645753
