Count;Frequencies forehead
45.572;142.578125
46.065;142.578125
46.542;142.578125
47.001;142.578125
47.495;142.578125
47.958;142.578125
48.457;142.578125
48.93;142.578125
49.414;142.578125
49.878;142.578125
50.361;142.578125
50.865;142.578125
51.355;142.578125
51.812;141.97812500000003
52.283;141.37812500000004
52.777;140.77812500000005
53.238;140.17812500000005
53.717;139.57812500000009
54.204;138.9781250000001
54.699;138.3781250000001
55.225;137.7781250000001
55.645;137.17812500000014
56.146;136.57812500000014
56.613;135.97812500000015
57.095;135.37812500000015
57.583;134.7781250000002
58.039;134.1781250000002
58.547;133.5781250000002
59.006;132.9781250000002
59.507;132.37812500000024
59.958;131.77812500000024
60.444;131.17812500000025
60.933;130.57812500000026
61.403;129.9781250000003
61.919;129.3781250000003
62.37;128.7781250000003
62.899;128.1781250000003
63.336;127.57812500000033
63.814;126.97812500000035
64.286;123.046875
64.78;123.046875
65.252;123.646875
65.742;124.24687499999997
66.256;124.84687499999995
66.676;125.44687499999995
67.158;128.90625
67.649;128.90625
68.132;128.90625
68.598;128.90625
69.098;128.90625
69.605;128.90625
70.035;128.90625
70.519;128.90625
71.014;128.90625
71.487;128.90625
71.979;128.90625
72.456;128.90625
72.922;128.90625
73.457;128.90625
73.904;128.90625
74.362;128.90625
74.849;128.90625
75.333;128.90625
75.835;128.90625
76.279;126.95312500000001
76.788;126.95312500000001
77.239;126.95312500000001
77.746;126.95312500000001
78.227;125.00000000000001
78.689;125.00000000000001
79.213;125.00000000000001
79.643;125.00000000000001
80.116;125.00000000000001
80.629;125.00000000000001
81.085;125.00000000000001
81.559;125.00000000000001
82.038;125.00000000000001
82.529;125.00000000000001
83.026;125.00000000000001
83.481;125.00000000000001
83.995;125.00000000000001
84.45;125.00000000000001
84.916;125.00000000000001
85.405;125.00000000000001
85.914;123.046875
86.379;123.046875
86.862;123.046875
87.348;123.046875
87.878;123.046875
88.289;123.046875
88.791;123.046875
89.24;123.046875
89.748;123.046875
90.231;123.046875
90.687;123.046875
91.181;123.046875
91.645;123.046875
92.161;123.046875
92.643;123.046875
93.111;123.046875
93.556;123.046875
94.055;123.046875
94.561;123.046875
95.046;123.046875
95.487;123.046875
96.033;123.046875
96.449;123.046875
96.933;123.046875
97.47;123.046875
97.995;123.046875
98.413;123.046875
98.847;123.046875
99.327;123.046875
99.822;123.046875
100.293;123.046875
100.759;123.046875
101.235;123.046875
101.741;123.046875
102.222;123.046875
102.701;123.046875
103.165;123.046875
103.658;123.046875
104.173;123.046875
104.626;123.046875
105.107;123.046875
105.586;123.046875
106.065;123.046875
106.539;123.046875
107.015;123.046875
107.494;123.046875
107.958;123.046875
108.447;119.14062500000001
108.947;119.14062500000001
109.42;119.14062500000001
109.908;119.14062500000001
110.362;119.14062500000001
110.839;119.14062500000001
111.392;119.14062500000001
111.832;119.14062500000001
112.286;119.14062500000001
112.807;119.14062500000001
113.246;119.14062500000001
113.732;119.14062500000001
114.2;119.14062500000001
114.684;119.14062500000001
115.181;119.14062500000001
115.666;119.14062500000001
116.176;119.14062500000001
116.621;119.14062500000001
117.103;119.14062500000001
117.578;119.14062500000001
118.082;119.14062500000001
118.539;119.14062500000001
119.023;119.14062500000001
119.484;123.046875
119.977;123.046875
120.47;123.046875
120.991;123.046875
121.459;123.046875
121.925;123.046875
122.367;123.046875
122.858;123.046875
123.324;123.046875
123.829;123.046875
124.327;123.046875
124.756;123.046875
125.261;123.046875
125.742;123.046875
126.248;123.046875
126.724;123.046875
127.208;123.046875
127.679;123.046875
128.134;123.046875
128.646;123.046875
129.098;123.046875
129.566;123.046875
130.073;123.046875
130.525;121.09375000000001
131.024;121.09375000000001
131.478;121.09375000000001
131.955;121.09375000000001
132.451;121.09375000000001
132.926;121.09375000000001
133.405;121.09375000000001
133.898;121.09375000000001
134.365;121.09375000000001
134.844;121.09375000000001
135.351;121.09375000000001
135.801;121.09375000000001
136.279;121.09375000000001
136.765;121.09375000000001
137.236;121.09375000000001
137.726;121.09375000000001
138.199;121.09375000000001
138.74;121.09375000000001
139.181;121.09375000000001
139.663;121.09375000000001
140.115;121.09375000000001
140.625;121.09375000000001
141.129;121.09375000000001
141.582;121.09375000000001
142.038;121.09375000000001
142.528;121.09375000000001
143.051;120.49375000000003
143.529;119.89375000000003
143.978;119.29375000000003
144.497;118.69375000000002
144.915;118.09375000000003
145.429;117.49375000000003
145.881;116.89375000000003
146.43;113.28125000000001
146.868;113.28125000000001
147.35;113.28125000000001
147.829;113.28125000000001
148.286;113.28125000000001
148.804;113.28125000000001
149.278;113.28125000000001
149.762;113.28125000000001
150.223;113.28125000000001
150.696;113.28125000000001
151.181;113.28125000000001
151.662;113.28125000000001
152.118;113.28125000000001
152.637;112.68125
153.096;112.08125000000001
153.562;111.48125
154.078;110.88125000000001
154.522;110.28125
155.009;109.68125
155.484;109.08125000000001
155.971;108.48125
156.441;107.88125000000001
156.935;107.28125
157.407;106.68125
157.883;106.08125
158.36;105.48125
158.841;104.88125
159.333;104.28125
159.817;103.68125
160.325;103.08125
160.801;102.48125
161.283;101.88125
161.749;102.48125
162.227;103.08125
162.686;103.68125
163.168;104.28125
163.678;104.88125
164.115;105.48125
164.631;106.08125
165.138;106.68125
165.563;107.28125
166.044;107.88125000000001
166.523;111.32812500000001
167.034;111.32812500000001
167.514;111.32812500000001
167.956;111.32812500000001
168.478;111.32812500000001
168.921;111.32812500000001
169.421;111.32812500000001
169.881;111.32812500000001
170.442;111.32812500000001
170.895;111.32812500000001
171.32;111.32812500000001
171.844;111.32812500000001
