time;interpolated Pixel leftCheek
4.395;193.2537555228277
4.425;192.99100753703544
4.455;192.9210863031081
4.485;192.79353401940847
4.515;192.66622705372936
4.545;192.54112795023482
4.575;192.87559025705372
4.605;193.14150916560672
4.635;193.16674455366686
4.665;193.191979941727
4.695;193.06483878194106
4.725;193.08723754988722
4.755;193.12214819706776
4.785;193.14915299608154
4.815;193.11654320987654
4.845;192.9497610356268
4.875;192.71527947278497
4.905;192.62625205232732
4.935;192.47502035271984
4.965;192.94641176628755
4.995;193.0483022357749
5.025;193.09004336578477
5.055;193.0758952899128
5.085;193.02491335031527
5.115;193.14542949012403
5.145;193.15411903772878
5.175;193.22366712235134
5.205;193.01006387973823
5.235;192.78681710213777
5.265;192.8920954078358
5.295;192.9628164804405
5.325;193.13876883908787
5.355;193.3749093546048
5.385;193.48559599559073
5.415;193.25645592163846
5.445;193.35362212560892
5.475;193.4867702625615
5.505;193.52022082595687
5.535;193.5154047509688
5.565;193.48329095020102
5.595;193.42387942365355
5.625;193.42952010597838
5.655;193.5719477555433
5.685;193.61686552427184
5.715;193.66178329300038
5.745;193.83965193593096
5.775;193.97508156830767
5.805;193.95213814379983
5.835;194.00504521386745
5.865;194.01080091533183
5.895;193.67853546910754
5.925;193.3333619763695
5.955;193.07705791547303
5.985;193.08935541099942
6.015;193.42906432994258
6.045;193.86716409974656
6.075;193.88489648345026
6.105;193.62044505660052
6.135;193.37888059757518
6.165;193.13810534433688
6.195;193.07910468608142
6.225;193.19156655677205
6.255;193.15965950294716
6.285;193.0691400304414
6.315;193.27531456695272
6.345;193.50412875259727
6.375;193.41882015998948
6.405;193.26439631328114
6.435;193.39969987995198
6.465;193.45115738603133
6.495;193.59636931695755
6.525;193.63850706949447
6.555;193.58958510940607
6.585;193.4558691500992
6.615;193.25628119268012
6.645;193.04467005076143
6.675;193.08229322185727
6.705;193.13802106705575
6.735;193.19504210326153
6.765;193.30402574926813
6.795;193.4660647023621
6.825;193.54535853838843
6.855;193.43583450884842
6.885;193.49983843537416
6.915;193.35902210884356
6.945;193.1438504321847
6.975;192.8422090729783
7.005;192.51676528599606
7.035;192.64162618285636
7.065;192.83523350838524
7.095;192.7346567318774
7.125;192.73926920195578
7.155;192.6076138464198
7.185;192.47595849088387
7.215;192.46467097410493
7.245;192.48475500515093
7.275;192.6063605460726
7.305;192.55509807129485
7.335;192.32771076987277
7.365;192.02308000487727
7.395;192.12917284084907
7.425;192.13636168107712
7.455;192.08792645358182
7.485;192.30603395973048
7.515;192.25628352087497
7.545;192.3003065921354
7.575;192.27140692245797
7.605;192.34531428070483
7.635;192.4931937648781
7.665;192.38559175101759
7.695;192.25331355093965
7.725;191.775568743818
7.755;191.75964391691394
7.785;191.786388639484
7.815;192.0126865671642
7.845;192.14372125496067
7.875;192.1386990622222
7.905;192.18458533409296
7.935;192.37356151486378
7.965;192.62477286493035
7.995;192.56117504542704
8.025;192.31365975687856
8.055;192.18379733922725
8.085;192.06856343832703
8.115;192.07234373893962
8.145;192.31721929586064
8.175;192.75489318775493
8.205;193.11303925821895
8.235;193.2098796296977
8.265;193.04435262196526
8.295;193.48468941664422
8.325;193.7243558580457
8.355;193.83097118646054
8.385;193.99567526827693
8.415;193.84408472289533
8.445;193.43110637920327
8.475;193.28364830094935
8.505;193.32547723923474
8.535;193.58019139566395
8.565;193.82944510895
8.595;194.05164341961566
8.625;194.12987173816896
8.655;194.0318425334579
8.685;194.0620890106468
8.715;194.18787375490254
8.745;194.31365849915827
8.775;194.29016880414096
8.805;193.9451856870585
8.835;193.65586572895543
8.865;193.5425318098462
8.895;193.53849847997654
8.925;193.55876198190902
8.955;193.64584177129743
8.985;193.80815345579302
9.015;193.7851985030102
9.045;193.6280324919588
9.075;193.52054798405166
9.105;193.53102950121655
9.135;193.49977950121655
9.165;193.3368837935047
9.195;193.36699027082875
9.225;193.70811787600778
9.255;193.87871339243674
9.285;194.22853844830252
9.315;194.5783635041683
9.345;194.70261835351351
9.375;194.87009331277628
9.405;195.07542576541982
9.435;195.17442922374428
9.465;195.11812038956185
9.495;194.95607810579608
9.525;194.7940358220303
9.555;194.5343009931245
9.585;194.52578500511353
9.615;194.63137550134144
9.645;194.71428827472488
9.675;194.75480117342534
9.705;194.78705564959796
9.735;194.93745672418112
9.765;194.93166204673625
9.795;194.79166666666669
9.825;194.74210486778847
9.855;194.66419696692856
9.885;194.23598574821852
9.915;194.1148456057007
9.945;194.08551942154534
9.975;194.1592074561562
10.005;194.27646861179974
10.035;194.52944903463333
10.065;194.6979395083886
10.095;194.53332692870737
10.125;194.5005260942761
10.155;194.46772525984483
10.185;194.4391624329279
10.215;194.6158639916908
10.245;194.6010396817315
10.275;194.49523692566797
10.305;194.3484148457301
10.335;193.97638159505863
10.365;193.8877488970853
10.395;194.0560422190593
10.425;194.18370812676326
10.455;194.2287929003807
10.485;194.31462346915265
10.515;194.32738422274605
10.545;194.4741568403844
