Time,Frequ,Polar
46,142.578125,134
47,142.578125,132
48,142.578125,131
49,142.578125,130
50,142.578125,130
51,142.578125,129
52,123.046875,130
53,123.046875,130
54,123.046875,130
55,123.046875,130
56,123.046875,130
57,123.046875,130
58,123.046875,129
59,123.046875,129
60,123.046875,129
61,123.046875,128
62,123.046875,128
63,123.046875,127
64,123.046875,127
65,125.9765625,127
66,128.90625,126
67,128.90625,126
68,128.90625,126
69,128.90625,126
70,128.90625,126
71,128.90625,125
72,128.90625,125
73,128.90625,125
74,128.90625,124
75,128.90625,124
76,127.9296875,124
77,126.953125,124
78,125.9765625,123
79,125.0,123
80,125.0,123
81,125.0,123
82,125.0,123
83,125.0,124
84,125.0,124
85,125.0,124
86,123.046875,124
87,123.046875,124
88,123.046875,124
89,123.046875,124
90,123.046875,123
91,123.046875,123
92,123.046875,123
93,123.046875,122
94,123.046875,122
95,123.046875,122
96,123.046875,121
97,123.046875,121
98,123.046875,120
99,123.046875,120
100,123.046875,120
101,123.046875,119
102,123.046875,119
103,123.046875,119
104,123.046875,119
105,123.046875,119
106,123.046875,119
107,123.046875,118
108,121.09375,119
109,119.140625,119
110,119.140625,120
111,119.140625,121
112,119.140625,121
113,119.140625,122
114,119.140625,122
115,119.140625,123
116,119.140625,122
117,119.140625,122
118,119.140625,122
119,120.44270833333333,122
120,123.046875,121
121,123.046875,121
122,123.046875,120
123,123.046875,120
124,123.046875,119
125,123.046875,118
126,123.046875,117
127,123.046875,115
128,123.046875,114
129,123.046875,114
130,123.046875,114
131,121.09375,114
132,121.09375,115
133,121.09375,115
134,121.09375,115
135,121.09375,115
136,121.09375,114
137,121.09375,113
138,121.09375,112
139,121.09375,111
140,121.09375,111
141,121.09375,110
142,121.09375,110
143,117.1875,110
144,113.28125,110
145,113.28125,110
146,113.28125,111
147,113.28125,111
148,113.28125,110
149,113.28125,110
150,113.28125,110
151,113.28125,110
152,113.28125,110
153,50.78125000000001,110
154,50.78125000000001,111
155,50.78125000000001,111
156,50.78125000000001,112
157,50.78125000000001,112
158,50.78125000000001,112
159,50.78125000000001,112
160,50.78125000000001,112
161,50.78125000000001,112
162,111.328125,112
163,111.328125,112
164,111.328125,112
165,111.328125,113
166,111.328125,113
167,111.328125,113
168,111.328125,113
169,111.328125,113
170,111.328125,113
171,111.328125,113
172,111.328125,112
173,111.328125,112
174,111.328125,111
175,111.328125,110
176,111.328125,109
177,111.328125,107
178,112.3046875,106
179,113.28125,105
180,113.28125,105
