time;interpolated Pixel forehead
0;212.49799732977303
0.015;212.49405430012294
0.045;212.48616824082274
0.075;212.47828218152256
0.105;212.47039612222235
0.135;212.46251006292218
0.165;212.45462400362197
0.195;212.4467379443218
0.225;212.43885188502162
0.255;212.43096582572142
0.285;212.42307976642124
0.315;212.41519370712103
0.345;212.40730764782086
0.375;212.39942158852065
0.405;212.39153552922048
0.435;212.38364946992027
0.465;212.3757634106201
0.495;212.3678773513199
0.525;212.3599912920197
0.555;212.35210523271954
0.585;212.34421917341933
0.615;212.33633311411916
0.645;212.32844705481895
0.675;212.32056099551878
0.705;212.31267493621857
0.735;212.3047888769184
0.765;212.2969028176182
0.795;212.289016758318
0.825;212.2811306990178
0.855;212.27324463971763
0.885;212.26535858041746
0.915;212.25747252111725
0.945;212.24958646181707
0.975;212.24170040251687
1.005;212.2338143432167
1.035;212.18209495949594
1.065;212.1216089108911
1.095;212.06112286228623
1.125;212.00278615728712
1.155;211.94690584498028
1.185;211.93889691982653
1.215;212.07708663854848
1.245;212.11543884633969
1.275;212.15379105413086
1.305;211.9998957273378
1.335;211.83226843378867
1.365;211.85148500485846
1.395;212.0347535703915
1.425;212.1545849843719
1.455;212.05392289613326
1.485;211.97989003807507
1.515;212.0789471761899
1.545;212.17800431430473
1.575;212.21321462043113
1.605;212.24133083411434
1.635;212.3489153723164
1.665;212.27394494986268
1.695;212.0094383151406
1.725;211.84318746120422
1.755;211.83980046015768
1.785;211.7258567020147
1.815;211.61191294387172
1.845;212.00015597962516
1.875;212.1097952140748
1.905;211.9433208572091
1.935;211.9988029655795
1.965;211.86858546162486
1.995;211.7383679576702
2.025;211.52998833302013
2.055;211.31602569974893
2.085;211.3552976139727
2.115;211.44015968322717
2.145;211.41906321262127
2.175;211.42791285597443
2.205;211.55654695516395
2.235;210.88007207888094
2.265;210.20359720259796
2.295;210.2929202498889
2.325;210.61531223044148
2.355;210.5178754349683
2.385;210.2435236269689
2.415;210.25482456871407
2.445;210.05880025852625
2.475;209.29686503719446
2.505;209.57263549415515
2.535;209.84840595111584
2.565;209.7061625769972
2.595;209.68810134701732
2.625;209.82893446024977
2.655;209.7846294006982
2.685;209.39891696750902
2.715;209.58933456585012
2.745;209.60263825215793
2.775;209.5963178182333
2.805;208.8879531305661
2.835;208.55048510450266
2.865;208.4320278646296
2.895;208.33251730815314
2.925;208.28511013101738
2.955;208.2443421081422
2.985;208.29652224491502
3.015;208.34870238168787
3.045;208.24999279509836
3.075;208.40737642561345
3.105;208.56746519503324
3.135;208.39609602153104
3.165;208.1568621468237
3.195;208.05873558308414
3.225;208.31481480228516
3.255;208.41954487103177
3.285;208.35130448211626
3.315;208.31459957451028
3.345;208.38151124834985
3.375;208.4484229221894
3.405;208.37275863557207
3.435;208.25370166533742
3.465;208.07142950682277
3.495;207.83384405856316
3.525;207.82694877541365
3.555;208.15624095827786
3.585;208.01417637880505
3.615;208.1368440497326
3.645;208.25951172066016
3.675;208.22487752928646
3.705;208.24322356049868
3.735;208.32858947368422
3.765;208.27402613773677
3.795;208.03915504589398
3.825;207.80428395405116
3.855;207.53586182159995
3.885;207.57885867820875
3.915;207.68131611028335
3.945;207.71650309694738
3.975;207.75038207378083
