time;Pixel rightCheek
0;198.52923076923076
1.01;199.0127587184576
1.111;199.46895378508648
1.178;202.07972732661528
1.212;202.38767042086545
1.277;200.92456768038164
1.344;200.86165772212283
1.378;200.1351431980907
1.414;200.36336515513128
1.481;200.4559646539028
1.548;200.36849752978785
1.614;200.50014530659692
1.649;199.80492091388402
1.715;199.54690676735405
1.748;199.3491141446413
1.815;198.78159613746095
1.862;198.6378869639307
1.897;198.59823713392095
1.932;198.45265851578048
1.997;197.8303444349559
2.065;197.37874964956546
2.102;196.95598542192317
2.169;196.59249033683048
2.205;196.25041413583656
2.272;196.47520544063474
2.339;196.54746387078492
2.373;196.05348773090708
2.438;196.00330851943755
2.472;194.89659977703457
2.54;195.60395763656632
2.578;194.91146993318486
2.646;194.59409799554567
2.681;194.51789181692095
2.713;194.45353675450764
2.747;194.59583911234395
2.78;194.62968099861303
2.814;194.76543909348442
2.887;195.13233249930497
2.953;195.3783708646094
3.021;195.28402203856749
3.058;195.21404958677687
3.092;195.82936288088644
3.126;195.8252077562327
3.16;195.78340635268347
3.195;195.80832420591457
3.241;196.90498878923768
3.308;196.73038116591928
3.382;196.70789259560618
3.449;196.54277699859747
3.515;196.08415147265077
3.549;196.54749199573106
3.582;196.59391675560298
3.648;196.98086908991527
3.693;197.07023776988248
3.728;197.0811166710561
3.763;196.9770871740848
3.83;197.16143861546783
3.864;197.52163331530556
3.899;197.3126984126984
3.967;197.5246031746032
4.034;197.0839445802771
4.07;197.48791089377886
4.105;197.46427601195327
4.138;196.4829515183804
4.172;196.43153969099626
4.206;196.4811529933481
4.241;196.3988359201774
4.276;196.777238403452
4.31;196.58252427184465
4.378;196.85858021240918
4.412;196.76914477361655
4.446;196.90441587479037
4.512;196.70712909441232
4.55;196.3402146985962
4.593;196.95099089448314
4.666;197.00562399571504
4.7;196.94768229872594
4.734;196.95852534562212
4.801;196.69129145322188
4.834;196.7646265839849
4.868;196.98200654307524
4.902;196.89258451472193
4.936;196.63125665601703
4.969;196.8871139510117
5.04;196.7712992545261
5.082;197.29322493224933
5.117;197.50162601626016
5.153;197.19156367544332
5.188;197.1133799032778
5.223;196.68868183063853
5.258;196.65744039462868
5.309;197.1734277157637
5.347;197.21399401034577
5.382;196.96242853253472
5.415;196.82602850228557
5.449;197.01183113740254
5.483;197.41680486456605
5.55;197.20232172470978
5.616;197.05234460196291
5.651;197.08969465648855
5.717;197.64547745729487
5.751;197.50350042005041
5.785;197.8475323959195
5.82;197.50372208436724
5.854;197.5869505114736
5.9;197.25158971523362
5.935;196.94968205695326
5.968;196.89888888888888
6.003;196.90305555555557
6.037;197.43867403314917
6.071;197.32403314917127
6.106;196.89364640883977
6.18;197
6.223;197.21010269220093
6.258;197.50824800910127
6.29;197.35637087599545
6.324;197.39520305260288
6.358;197.56909239574816
6.395;197.5423821204688
6.428;197.4775172413793
6.463;197.71062068965517
6.502;197.68855172413794
6.537;197.43664245359162
6.571;197.29028786655905
6.607;197.08670520231215
6.642;197.0322047894302
6.677;196.8153041563446
6.744;196.94454963483906
6.781;196.82066540438194
6.815;197.29657794676805
6.849;197.1732753938077
6.883;196.8795797413793
6.918;196.5983297413793
6.952;196.43519522776572
7.018;196.01274403470717
7.052;196.57699594046008
7.085;196.82408660351828
7.12;196.6535752979415
7.187;196.6180931744312
7.24;196.64544962080174
7.273;197.09446254071662
7.306;196.79098805646038
7.341;196.9132932166302
7.375;196.6241794310722
7.408;196.38799138395262
7.443;196.5799676898223
7.484;196.55558583106267
7.521;196.4558583106267
7.558;196.68555858310626
7.591;196.50621621621622
7.625;196.57513513513513
7.693;195.96447793326158
7.726;195.67895586652315
7.761;195.67895586652315
7.794;196.00845377692937
7.828;196.26261248977366
7.896;195.86014750068287
7.929;195.83802239825184
7.962;196.125956284153
7.997;195.9814207650273
8.031;195.9317992791794
8.066;195.37288605489326
8.1;195.5176857691253
8.134;196.0737592541815
8.198;196.8541957067187
8.239;196.8143295232785
8.273;196.83858377474212
8.307;197.2009911894273
8.341;197.10710352422907
8.375;196.8522099447514
8.409;196.50138121546962
8.442;196.44884304432674
8.476;196.42681906885977
8.51;196.31016338964275
8.546;196.42785931874826
8.613;196.63113367174282
8.647;196.64467005076142
8.68;196.62986475296717
8.747;196.70714877173614
8.781;196.79298923544025
8.815;196.5724937862469
8.85;196.4264015465341
8.917;197.00248207391064
8.962;197.0595697738555
8.996;197.0623276337562
9.031;197.02646085997796
9.065;197.39084895259097
9.098;197.9189723320158
9.138;198.10954263128176
9.184;197.96640316205534
9.219;198.11410675381265
9.252;198.6541394335512
9.32;198.51985659128516
9.354;198.47324875896305
9.422;198.10360110803325
9.461;198.14404432132963
9.529;197.70245398773005
9.564;197.23759063022868
9.631;197.60264171711611
9.665;197.4493670886076
9.7;197.68441594647337
9.734;197.72288820741568
9.769;197.61544782251437
9.808;197.43577102163792
9.848;197.8378526431115
9.883;197.50804215196894
9.918;197.5881863560732
9.952;197.45119245701608
9.986;196.9335712325007
10.019;197.2648915728795
10.054;197.42410101564644
10.094;197.42813455657492
10.16;197.6057825966083
10.194;196.96828001093792
10.227;197.10637134263058
10.261;197.31015299026424
10.295;197.17134909596663
10.328;197.298755186722
10.361;197.3734439834025
10.416;197.2439226519337
10.449;197.13701657458563
10.482;197.10718232044198
10.516;197.14337016574586
10.55;197.60680423870608
10.584;197.781929726715
10.621;197.61182375906301
10.657;197.5954048753152
10.724;197.62566545250772
10.757;198.55133295519002
10.795;198.63301191151447
10.863;198.65652654867256
10.896;198.65652654867256
10.938;199.06021384355657
10.975;199.46060776589758
11.009;198.74265734265734
11.043;198.54545454545453
11.076;198.55244755244755
11.11;198.53756260434056
11.145;198.779632721202
11.184;198.73650528658877
11.256;198.34161317331845
11.291;198.52442087636058
11.325;198.64545198535623
11.36;198.7457054350887
11.392;198.63446916361588
11.426;198.3259361997226
11.46;198.3128987517337
11.496;199.2803136376365
11.564;199.22738728647437
11.631;198.63596004439512
11.665;198.6093229744728
11.709;198.53246392896781
11.743;199.227016356458
11.776;199.4049633389735
11.814;198.74957698815567
11.854;198.36128133704736
11.89;198.29693593314764
11.923;199.10175145954963
11.956;199.08673894912428
12.002;199.36134918440698
12.039;199.18274813381254
12.076;199.34641968482168
12.11;199.1582331562762
12.149;199.19737209952473
12.193;199.27224249228178
12.227;199.13499859668818
12.262;198.92983440920574
12.297;199.20179623912432
12.33;199.42335362479247
12.365;199.41394576646374
12.431;199.2676251036771
12.477;199.15758916228918
12.511;199.51175006911805
12.545;199.07427130044843
12.579;198.73626681614348
12.613;198.53942254303166
12.647;198.55219322598558
12.681;198.385745978924
12.717;198.37603993344425
12.753;198.21881898454745
12.82;197.96081677704194
12.854;198.20916114790288
12.888;198.0353200883002
12.923;198.20225035161744
12.956;197.9353023909986
12.991;198.02869198312237
13.025;198.52989054167836
13.06;198.83300589390961
13.094;198.76518331933949
13.161;198.89364679541
13.196;199.12965595678133
13.229;199.11088996303667
13.279;199.111706629055
13.313;199.21523272214387
13.347;198.9836389280677
13.381;198.4061890158907
13.415;198.49261221076108
13.449;198.5107332032339
13.491;199.13919413919413
13.557;199.11665257819104
13.592;198.888269713012
13.624;199.1237113402062
13.691;198.69986052998604
13.725;198.24407252440724
13.758;198.29795686719638
13.792;198.1271282633371
13.826;198.2304250559284
13.889;198.54921700223713
13.922;199.501878069922
13.956;199.53452759318117
13.989;199.53452759318117
14.029;198.90125874125874
14.063;199.00727272727272
14.097;198.67384615384614
14.179;198.35627644569817
14.245;198.03912800447176
14.28;197.8856903297932
14.314;197.7550561797753
14.346;198.00421348314606
14.379;197.8699438202247
14.413;198
14.448;197.39720670391063
14.485;197.28467561521254
14.519;197.21728187919464
14.554;197.01593959731542
14.587;197.65540166204985
14.653;197.48005540166204
14.687;197.55035063113604
14.755;197.91809256661992
14.788;197.55091164095373
14.822;197.68892005610098
14.856;197.38934081346423
14.889;197.2362270450751
14.923;197.35086254869228
14.956;197.25041736227044
15.008;196.9820541137493
15.053;197.04914411927112
15.086;196.71890686001115
15.12;197.31985499163414
15.154;197.31985499163414
15.221;196.77160154100164
15.255;196.45734727572923
15.288;196.47629733520336
15.34;196.59971949509116
15.382;196.9622012229016
15.417;196.55780989438577
15.453;196.44830461367425
15.487;196.4021193530396
15.522;196.58337981037369
15.557;196.71026213050752
15.592;196.7706163805235
15.626;196.67604840979453
15.678;196.37246621621622
15.729;196.4259572072072
15.797;196.51696832579185
15.829;196.78365384615384
15.862;196.85062006764375
15.896;197.18066516347238
15.962;197.1286599099099
15.997;197.05384401887315
16.031;197.06383569247848
16.067;197.03946637020567
16.135;197.48971650917176
16.17;197.4855944055944
16.203;197.2813986013986
16.24;197.55692307692308
16.306;197.37670660351074
16.341;197.35748119253273
16.375;197.2805151175812
16.408;197.5338745800672
16.444;197.5338745800672
16.499;197.64524207011686
16.538;197.49471341124095
16.571;197.72902146640646
16.605;197.6211318650683
16.642;196.9939108773872
16.676;197.09161361749238
16.719;197.30391340549542
16.752;197.2939217318901
16.786;196.5781293366639
16.852;196.17318900915905
16.891;196.6947925368978
16.928;197.0570871623503
16.961;197.87831290966088
16.995;197.70988885722429
17.029;197.47561659192826
17.063;197.47561659192826
17.129;198.27710144927536
17.163;198.48492753623188
17.196;197.65813168261116
17.263;197.481148002251
17.296;197.388698630137
17.33;197.56820776255708
17.364;197.5710616438356
