time;interpolated Pixel rightCheek
3.348;204.18371969630695
3.378;204.30943567200725
3.408;204.4751720747296
3.438;204.30339037295883
3.468;203.40790173558895
3.498;202.51241309821904
3.528;202.29438989053446
3.558;202.52801030264007
3.588;202.87515628223883
3.618;203.29095721565994
3.648;203.38376826521417
3.678;202.7115158912727
3.708;203.14670672738367
3.738;203.66941682269126
3.768;204.04757726242707
3.798;203.96732916048632
3.828;203.467736302756
3.858;203.18639644092931
3.888;203.05055857637174
3.918;202.8679241614001
3.948;202.6263490520175
3.978;202.5087703481092
4.008;202.18660656148262
4.038;202.0730584066482
4.068;202.00674121970874
4.098;202.17235780305697
4.128;202.23487537387837
4.158;201.97630109670988
4.188;201.74302477183832
4.218;201.674185136897
4.248;202.4214909086742
4.278;202.5841287833592
4.308;202.47480412043114
4.338;202.47429671973282
4.368;202.60468785215235
4.398;202.81831494101672
4.428;203.1715072805982
4.458;203.14582841401023
4.488;203.35027750769729
4.518;203.02651618560708
4.548;202.69631359300476
4.578;202.5676868044515
4.608;202.46041458695356
4.638;202.65210636423015
4.668;202.84379814150674
4.698;202.7669728356459
4.728;202.68624372004348
4.758;202.70689688434456
4.788;202.81856771944388
4.818;202.90200720125725
4.848;202.86129176038372
4.878;203.03504916375192
4.908;203.00409611952003
4.938;203.24178333233192
4.968;203.19269220640695
4.998;203.17373335682464
5.028;203.1930633510357
5.058;202.9635983942063
5.088;202.5974958195685
5.118;202.63375286457386
5.148;202.65094030773707
5.178;202.9304133286722
5.208;203.0067578471718
5.238;202.79032346096812
5.268;202.52290592474327
5.298;202.34716894975335
5.328;202.2812403303145
5.358;202.21449030918782
5.388;202.12391963911455
5.418;202.0333489690413
5.448;202.2055115964191
5.478;202.20759153510247
5.508;202.50265615414014
5.538;202.89249037227216
5.568;202.75716959592975
5.598;202.92032896986134
5.628;203.0834883437929
5.658;203.02927927927928
5.688;202.91623526028187
5.718;202.83721435668156
5.748;202.84187158469945
5.778;202.84788239729662
5.808;203.32533792275254
5.838;203.1498647159034
5.868;203.09199318568994
5.898;202.94674637475904
5.928;202.76951200934343
5.958;202.63871861647723
5.988;202.22372469488948
6.018;202.0563358542985
6.048;201.97799032413675
6.078;201.9000220613305
6.108;201.82254111626904
6.138;201.74796993830884
6.168;201.72350183150184
6.198;201.70460073260074
6.228;201.73256826248195
6.258;201.75090864789132
6.288;201.70460821539524
6.318;201.58300943778116
