Time,Frequ
46,44.92187500000001
47,44.92187500000001
48,44.92187500000001
49,44.92187500000001
50,121.09375
51,121.09375
52,121.09375
53,121.09375
54,121.09375
55,121.09375
56,121.09375
57,121.09375
58,121.09375
59,121.09375
60,121.09375
61,121.09375
62,121.09375
63,119.140625
64,119.140625
65,119.140625
66,119.140625
67,119.140625
68,119.140625
69,111.328125
70,103.515625
71,103.515625
72,103.515625
73,103.515625
74,103.515625
75,103.515625
76,103.515625
77,103.515625
78,103.515625
79,103.515625
80,103.515625
81,103.515625
82,103.515625
83,103.515625
84,103.515625
85,103.515625
86,103.515625
87,103.515625
88,103.515625
89,103.515625
90,105.46875
91,105.46875
92,105.46875
93,105.46875
94,105.46875
95,105.46875
96,85.28645833333333
97,44.92187500000001
98,44.92187500000001
99,44.92187500000001
100,44.92187500000001
101,44.92187500000001
102,44.92187500000001
103,44.92187500000001
104,44.92187500000001
105,44.92187500000001
106,44.92187500000001
107,44.92187500000001
108,44.92187500000001
109,44.92187500000001
110,44.92187500000001
111,44.92187500000001
112,44.92187500000001
113,44.92187500000001
114,44.92187500000001
115,44.92187500000001
116,44.92187500000001
117,44.92187500000001
118,44.92187500000001
119,44.92187500000001
120,44.92187500000001
121,44.92187500000001
122,44.92187500000001
123,44.92187500000001
124,44.92187500000001
125,44.92187500000001
126,44.92187500000001
127,44.92187500000001
128,44.92187500000001
129,46.875
130,46.875
131,67.05729166666667
132,107.421875
133,107.421875
134,107.421875
135,107.421875
136,107.421875
137,107.421875
138,107.421875
139,107.421875
140,107.421875
141,107.421875
142,108.3984375
143,109.375
144,109.375
145,109.375
146,109.375
147,109.375
148,109.375
149,109.375
150,109.375
151,103.515625
152,103.515625
153,103.515625
154,103.515625
155,103.515625
156,103.515625
157,103.515625
158,103.515625
159,103.515625
160,103.515625
161,103.515625
162,103.515625
163,103.515625
164,103.515625
165,103.515625
166,103.515625
167,103.515625
168,103.515625
169,103.515625
170,103.515625
171,103.515625
172,103.515625
173,101.5625
174,101.5625
175,101.5625
176,101.5625
177,101.5625
178,101.5625
179,101.5625
180,101.5625
