time;interpolated Pixel rightCheek
0;202.45201421800948
0.019;202.4324726123591
0.049;202.40161744554268
0.079;202.3707622787263
0.109;202.3399071119099
0.139;202.3090519450935
0.169;202.2781967782771
0.199;202.24734161146068
0.229;202.2164864446443
0.259;202.1856312778279
0.289;202.1547761110115
0.319;202.12392094419508
0.349;202.09306577737868
0.379;202.0622106105623
0.409;202.0313554437459
0.439;202.0005002769295
0.469;201.96964511011308
0.499;201.93878994329668
0.529;201.9079347764803
0.559;201.8770796096639
0.589;201.8462244428475
0.619;201.81536927603108
0.649;201.78451410921468
0.679;201.7536589423983
0.709;201.7228037755819
0.739;201.69194860876547
0.769;201.66109344194908
0.799;201.63023827513268
0.829;201.5993831083163
0.859;201.5685279414999
0.889;201.53767277468347
0.919;201.50681760786708
0.949;201.47596244105068
0.979;201.4451072742343
1.009;201.4142521074179
1.039;201.38339694060147
1.069;201.5954838444419
1.099;203.38669420755176
1.129;205.17790457066158
1.159;206.96911493377144
1.189;208.76032529688126
1.219;209.4239935358581
1.249;209.43487422928422
1.279;209.91387193663655
1.309;210.66901717213142
1.339;210.43009709121736
1.369;210.19117701030325
1.399;209.9522569293892
1.429;209.92836492129777
1.459;209.92836492129777
1.489;209.87427937824148
1.519;209.83371522094927
1.549;209.81787879687798
1.579;209.7584922066106
1.609;209.67991524774902
1.639;209.04481759965444
1.669;208.40971995155982
1.699;208.28270042194092
1.729;208.28270042194092
1.759;208.27880019856042
1.789;208.26237810945273
1.819;208.2346169154229
1.849;208.2694810808312
1.879;208.51011428439347
1.909;208.74035348714676
1.939;208.6691666664405
1.969;208.59797984573427
1.999;208.59455603117112
2.029;208.62501371967952
2.059;208.6554714081879
2.089;208.32794486861084
2.119;208.0386358370789
2.149;207.8028490459374
2.179;207.13658827497565
2.209;206.47032750401394
2.239;206.30008313972888
2.269;206.62585518212055
2.299;207.10912679310675
2.329;207.98753210124244
2.359;207.76465344099927
2.389;207.54177478075607
2.419;208.4190232309648
2.449;209.07545153324256
2.479;209.5900360272964
2.509;210.07031488841332
2.539;210.07031488841332
2.569;210.07031488841332
2.599;209.86190271289976
