Count;Frequencies rightCheek
45.566;44.92187500000001
46.074;44.92187500000001
46.549;44.92187500000001
47.047;44.92187500000001
47.58;44.92187500000001
48.013;44.92187500000001
48.453;44.92187500000001
48.946;44.92187500000001
49.459;44.92187500000001
49.885;45.52187500000001
50.379;46.121875
50.859;46.721875000000004
51.356;47.321875000000006
51.829;47.92187500000001
52.292;48.52187500000001
52.777;49.12187500000001
53.24;49.72187500000001
53.74;50.321875000000006
54.235;50.92187500000001
54.749;51.52187500000001
55.189;52.12187500000001
55.673;52.72187500000001
56.129;53.32187500000001
56.637;53.921875000000014
57.113;54.521875000000016
57.591;55.12187500000002
58.09;55.72187500000001
58.57;56.32187500000001
59.011;56.921875000000014
59.505;57.521875000000016
60.007;58.12187500000002
60.485;58.72187500000002
60.947;59.32187500000002
61.429;59.921875000000014
61.886;60.521875000000016
62.373;61.12187500000002
62.867;61.72187500000002
63.328;62.32187500000002
63.856;62.92187500000002
64.332;63.52187500000002
64.805;64.12187500000002
65.315;64.72187500000003
65.741;65.32187500000002
66.225;65.92187500000003
66.705;66.52187500000002
67.176;67.12187500000002
67.664;67.72187500000003
68.17;68.32187500000002
68.606;68.92187500000003
69.12;69.52187500000002
69.572;70.12187500000003
70.062;70.72187500000003
70.582;71.32187500000003
71.024;71.92187500000003
71.524;72.52187500000002
71.976;73.12187500000003
72.45;73.72187500000003
72.937;74.32187500000003
73.411;74.92187500000003
73.899;75.52187500000004
74.396;76.12187500000003
74.845;76.72187500000004
75.32;77.32187500000003
75.84;77.92187500000003
76.352;78.52187500000004
76.769;79.12187500000003
77.253;79.72187500000004
77.749;80.32187500000003
78.209;80.92187500000004
78.701;81.52187500000004
79.173;82.12187500000003
79.665;82.72187500000004
80.127;83.32187500000003
80.63;83.92187500000004
81.104;84.52187500000004
81.579;85.12187500000005
82.062;85.72187500000004
82.578;86.32187500000003
83.012;86.92187500000004
83.493;87.52187500000004
83.974;88.12187500000005
84.496;88.72187500000004
84.927;89.32187500000005
85.431;89.92187500000004
85.889;90.52187500000005
86.4;91.12187500000005
86.847;91.72187500000004
87.358;92.32187500000005
87.866;92.92187500000004
88.282;93.52187500000005
88.76;94.12187500000005
89.255;94.72187500000005
89.744;95.32187500000005
90.234;95.92187500000006
90.7;96.52187500000005
91.181;97.12187500000005
91.778;97.72187500000005
92.156;98.32187500000005
92.621;98.92187500000006
93.113;99.52187500000005
93.592;100.12187500000006
94.104;100.72187500000005
94.524;101.32187500000005
95;101.92187500000006
95.505;105.46875000000001
96.033;105.46875000000001
96.443;104.86875
97.123;104.26875000000001
97.406;103.66875000000002
97.932;103.06875000000001
98.409;102.46875000000001
98.889;101.86875
99.325;101.26875000000001
99.82;100.66875
100.302;100.06875000000001
100.806;99.46875000000001
101.3;98.86875
101.721;98.26875000000001
102.247;97.66875
102.712;97.06875000000001
103.18;96.46875
103.648;95.86875
104.137;95.26875000000001
104.627;94.66875
105.113;94.06875000000001
105.585;93.46875
106.095;92.86875
106.564;92.26875
107.052;91.66875
107.511;91.06875
107.988;90.46875
108.445;89.86875
108.95;89.26875
109.401;88.66875
109.888;88.06875
110.427;87.46875
110.882;86.86874999999999
111.33;86.26875
111.82;85.66874999999999
112.299;85.06875
112.777;84.46875
113.247;83.86874999999999
113.721;83.26875
114.245;82.66874999999999
114.726;82.06875
115.167;81.46874999999999
115.672;80.86874999999999
116.151;80.26875
116.619;79.66874999999999
117.092;79.06875
117.618;78.46874999999999
118.085;77.86874999999999
118.549;77.26874999999998
119.053;76.66874999999999
119.49;76.06875
119.995;75.46874999999999
120.476;74.86874999999999
120.974;74.26874999999998
121.468;73.66874999999999
121.894;73.06874999999998
122.359;72.46874999999999
122.894;71.86874999999998
123.385;71.26874999999998
123.809;70.66874999999999
124.283;70.06874999999998
124.762;69.46874999999999
125.275;68.86874999999998
125.753;68.26874999999998
126.255;67.66874999999997
126.73;67.06874999999998
127.238;66.46874999999997
127.678;65.86874999999998
128.166;65.26874999999998
128.601;64.66874999999997
129.116;64.06874999999998
129.596;63.46874999999998
130.048;62.86874999999998
130.544;62.268749999999976
131.014;61.668749999999974
131.493;62.268749999999976
132.014;62.86874999999998
132.468;63.46874999999998
132.937;64.06874999999998
133.416;64.66874999999997
133.939;65.26874999999998
134.411;65.86874999999998
134.841;66.46874999999997
135.351;67.06874999999998
135.855;67.66874999999997
136.279;68.26874999999998
136.812;68.86874999999998
137.267;69.46874999999999
137.741;70.06874999999998
138.221;70.66874999999999
138.7;71.26874999999998
139.208;71.86874999999998
139.674;72.46874999999999
140.17;73.06874999999998
140.647;73.66874999999999
141.106;74.26874999999998
141.559;74.86874999999999
142.06;75.46874999999999
142.536;76.06875
143.005;76.66874999999999
143.522;77.26874999999998
143.978;77.86874999999999
144.468;78.46874999999999
144.936;79.06875
145.425;79.66874999999999
145.927;80.26875
146.383;80.86874999999999
146.856;81.46874999999999
147.334;82.06875
147.817;82.66874999999999
148.298;83.26875
148.768;83.86874999999999
149.298;84.46875
149.758;85.06875
150.221;85.66874999999999
150.707;86.26875
151.18;86.86874999999999
151.676;87.46875
152.121;88.06875
152.655;88.66875
153.09;89.26875
153.58;89.86875
154.043;90.46875
154.534;91.06875
155.03;91.66875
155.493;92.26875
155.964;92.86875
156.468;93.46875
156.94;94.06875000000001
157.417;94.66875
157.901;95.26875000000001
158.369;95.86875
158.85;96.46875
159.319;97.06875000000001
159.801;97.66875
160.3;98.26875000000001
160.779;98.86875
161.266;99.46875000000001
161.734;100.06875000000001
162.223;103.515625
162.738;103.515625
163.181;103.515625
