time;Pixel leftCheek
0;212.6356807511737
1.065;211.89103362391035
1.2;218.84586971121558
1.267;219.44929482874412
1.3;219.58165011982197
1.402;219.4074464348437
1.469;219.4074464348437
1.504;219.15573482988424
1.541;219.15573482988424
1.608;218.66968011126565
1.675;218.6017761989343
1.741;218.6017761989343
1.775;218.29676071055383
1.842;217.727969348659
1.908;218.6782515227517
1.979;218.45515536723164
2.063;218.75
2.108;218.8296802012217
2.143;219.03413582464967
2.224;218.72397260273974
2.292;219.56113169417313
2.326;220.61333782418322
2.393;220.48674304418986
2.427;221.2998363338789
2.507;221.5574139594725
2.587;221.5574139594725
2.622;221.2855811062772
2.656;221.2855811062772
2.723;221.46946795646917
2.756;221.9084038694075
2.79;221.93359375
2.906;221.7945864661654
2.976;221.76601503759397
3.041;221.5766597201548
3.079;221.5766597201548
3.146;222.06783237865542
3.18;222.1760627072656
3.219;221.8897146254459
3.255;221.93281807372176
3.322;221.66797228080748
3.395;221.6968503937008
3.442;221.6968503937008
3.479;221.65235664965476
3.513;221.65235664965476
3.552;221.93714285714285
3.585;222.09864661654134
3.652;222.09864661654134
3.718;221.53922452660055
3.754;221.7000300571085
3.788;222.01239419588876
3.824;222.43863361547764
3.926;222.62580250687864
3.993;223.00154607297463
4.028;222.80210265924552
4.097;222.47680722891567
4.133;222.47680722891567
4.17;222.84008400840085
4.204;222.84008400840085
4.24;223.12061206120612
4.275;223.12061206120612
4.341;223.41817087845968
4.375;222.56829121540312
4.443;222.47924080664293
4.51;222.56582884500298
4.543;222.56582884500298
4.577;222.654089948687
4.61;222.8714156353758
4.645;222.4295200724419
4.679;222.4295200724419
4.713;221.07938424388772
4.778;220.22232500770892
4.844;219.33086648165278
4.916;219.33086648165278
4.983;220.38583175205565
5.018;221.1325110689437
5.09;220.53238993710693
5.158;220.3176100628931
5.195;220.2591093117409
5.262;220.8548738710682
5.298;220.98643960895618
5.366;221.24156417533902
5.434;221.64423076923077
5.472;221.64423076923077
5.516;221.19080528846155
5.551;221.54192592592594
5.585;221.58903703703703
5.619;221.8154074074074
5.685;222.0572429906542
5.719;222.3826725403818
5.755;222.3826725403818
5.794;222.57944199706316
5.828;222.62518651148912
5.911;222.77350044762758
5.95;222.73724565025066
5.992;222.9908581539369
6.029;222.9908581539369
6.061;223.3556655986018
6.096;223.3556655986018
6.161;223.37963761863676
6.195;223.28041415012942
6.262;223.1400348634515
6.296;223.1400348634515
6.362;223.194227994228
6.395;223.5200577200577
6.462;223.5200577200577
6.495;223.48505079825836
6.563;223.44731494920174
6.596;223.39127923765523
6.63;222.78082587352006
6.697;222.68600583090378
6.767;222.80845481049562
6.804;222.61131751929122
6.838;222.46241783366676
6.872;222.46241783366676
6.94;222.65339578454333
7.011;222.53344968004654
7.08;222.10354857475275
7.147;222.56922629435718
7.182;222.6018033740547
7.217;222.52118398142775
7.251;222.71648287869994
7.291;222.71648287869994
7.328;222.75029036004645
7.379;222.73403019744484
7.414;222.76497432972047
7.458;222.98402738163148
7.492;222.98402738163148
7.529;223.01483171705647
7.564;223.1252866972477
7.598;222.94466743119267
7.634;223.38060781476122
7.67;223.59681620839362
7.707;223.52862432355454
