time;Pixel leftCheek
7.84;194.59578637922587
7.908;194.75748649975455
7.942;194.70152184585174
7.976;194.45409916543937
8.01;194.85657959586004
8.065;195.00689995071463
8.104;195.13307047806802
8.137;194.62433606953164
8.17;194.62530178657653
8.203;194.9475232957332
8.237;195.1378126532614
8.271;194.80887372013652
8.305;194.80887372013652
8.373;195.28953771289537
8.416;195.1138686131387
8.45;195.38053527980534
8.485;195.33481262327416
8.518;195.53648915187378
8.551;195.6826550387597
8.586;195.34156976744185
8.632;195.29118217054264
8.675;194.97904483430798
8.708;195.1593567251462
8.745;195.1803118908382
8.778;195.22103213242454
8.813;194.96299902629016
8.847;195.32188420019628
8.9;195.2124631992149
8.945;195.7295690936107
8.98;195.61664190193164
9.014;195.28417442430182
9.047;195.40911317981383
9.1;195.8193008370261
9.135;195.84293451501722
9.168;195.83998030526834
9.203;195.95470211718364
9.237;196.13037037037037
9.271;196.06567901234567
9.312;195.8741429970617
9.357;195.99853085210577
9.391;196.25895046591467
9.425;196.10004904364885
9.491;196.10004977600798
9.529;196.24589347934295
9.596;195.92511013215858
9.63;196.43426294820716
9.664;196.45169322709162
9.698;196.77241035856574
9.733;196.86354581673308
9.78;197.39911417322836
9.816;197.73031496062993
9.866;197.6827348745696
9.9;197.68962124938514
9.935;197.59173635022134
9.968;197.58098068350668
10.002;197.20554730064387
10.035;196.73968565815323
10.077;196.90225933202356
10.122;197.335952848723
10.157;197.15365733922434
10.191;197.28865979381445
10.226;197.14776632302406
10.26;197.75652610441767
10.294;197.80020080321285
10.328;197.67570281124497
10.371;197.30208333333334
10.439;197.48710317460316
10.479;197.23223909848113
10.513;197.2013718765311
10.547;197.46790788829006
10.582;198.0004992511233
10.617;197.6615077383924
10.651;197.4670599803343
10.686;197.35349065880038
10.722;197.62308073303615
10.806;197.8568598315998
10.84;197.79593858345714
10.873;198.15713575335653
10.907;198.08851317752362
10.942;198.15564395822975
10.977;197.64468503937007
11.011;197.45767716535434
11.044;197.64901960784314
11.078;197.55196078431374
11.144;197.54527655408714
11.178;197.55261869799315
11.224;197.66288252714708
11.259;197.6051332675222
11.326;197.88174171202374
11.359;197.75111331024246
11.393;197.81845091267883
11.433;197.77355698075974
11.467;197.8391711889492
11.502;197.8391711889492
11.539;198.0848544647262
11.576;197.78241650294694
11.611;197.6493123772102
11.647;197.82662082514736
11.681;198.10879284649778
11.716;197.98907103825135
11.751;197.82666666666665
11.786;197.6251851851852
11.82;198.1116116116116
11.854;198.04604604604606
11.894;197.79243404678945
11.965;197.9940268790443
11.999;197.89796929172857
12.033;197.65081723625556
12.068;197.61763249133233
12.198;197.3748169838946
12.232;197.36212786725233
12.272;197.20156173743288
12.321;196.79032258064515
12.355;196.663734115347
12.389;197.02549019607844
12.424;197.14803921568628
12.461;197.24313725490197
12.494;197.7491236855283
12.528;197.38007010515773
12.563;197.09810756972112
12.598;196.92729083665338
12.633;196.87998007968127
12.701;196.92587064676616
12.733;196.8039800995025
12.767;196.59444719881012
12.802;196.7863163113535
12.835;196.69657907783838
12.873;196.61130391670798
12.939;196.9471032745592
12.973;196.86649874055416
13.008;196.26233512457256
13.042;196.07669760625305
13.076;196.5275
13.11;196.567
13.144;196.6873126873127
13.178;196.53896103896105
13.245;196.2912087912088
13.28;196.3876123876124
13.314;196.18937875751504
13.348;196.19038076152304
13.382;196.13045634920636
13.415;196.24156746031747
13.449;196.22674710910005
13.502;196.30417295123178
13.544;196.07352210630899
13.577;195.87083954297069
13.61;195.96820665673124
13.678;196.04545454545453
13.713;195.9001976284585
13.747;196.3423967774421
13.782;196.41238670694864
13.817;196.56696878147028
13.858;196.10990635781172
13.926;196.2095
13.961;196.182
14.009;195.3736426456071
14.042;195.4308983218164
14.076;195.3558736426456
14.109;195.39711729622266
14.142;195.27186878727633
14.178;195.5667493796526
14.245;195.375682382134
14.28;195.20798422868407
14.313;195.05076392311483
14.347;195.29423361261706
14.384;195.71124318969788
14.418;195.17632491332344
14.453;195.54531946508172
14.487;195.36498516320475
14.554;195.6003956478734
14.588;195.60705414803775
14.622;195.17536015896673
14.656;195.0435859336305
14.691;194.38038632986627
14.726;193.9602977667494
14.764;193.63573200992556
14.844;194.3771712158809
14.88;194.624317617866
14.915;194.3047146401985
14.948;194.36923076923077
14.982;195.06958762886597
