time;Pixel forehead
0;228.70519226591352
0.943;228.00391134289438
1.043;228.31573108497892
1.111;228.12811308054745
1.178;228.20816418583672
1.247;228.67477272727274
1.313;228.30318181818183
1.382;228.36566484517303
1.419;228.11543715846994
1.458;228.37477231329692
1.492;228.53832158289742
1.558;228.8965835641736
1.595;228.803324099723
1.661;228.8326408125577
1.729;228.35399230943224
1.794;228.1426282051282
1.861;227.9842032967033
1.893;228.3745102558193
1.931;228.3745102558193
1.998;228.36596628954052
2.073;228.1082890787347
2.141;227.9505887785731
2.209;227.5400600323251
2.241;228.64811490125672
2.308;228.69883303411132
2.391;229.4899643175736
2.456;229.76498211091234
2.493;229.35979427549194
2.561;229.46503340757238
2.597;229.47260579064587
2.668;229.28821832704682
2.736;229.39649434213445
2.776;229.55493398970688
2.842;229.67263369881405
2.897;229.10432057309157
2.964;229.13543765390642
3.001;229.30044742729305
3.069;229.12192393736018
3.104;228.99219620958752
3.171;229.08494983277592
3.223;229.33959731543624
3.289;229.25258194881005
3.329;229.2514593623709
3.397;229.22676246070947
3.463;229.31386205347113
3.498;229.31386205347113
3.533;229.68220050011365
3.604;230.0375085246647
3.647;229.77960378208013
3.714;229.71724448446645
3.749;229.76019130038716
3.783;229.76019130038716
3.849;229.56776803776128
3.884;229.86558777253316
3.951;230.30151549423206
3.986;230.30151549423206
4.02;230.2047048179145
4.088;229.90469738030714
4.137;229.9410569105691
4.171;229.91723666210672
4.205;229.91723666210672
4.273;230.00947225981056
4.306;230.03112313937754
4.343;230.22866972477064
4.38;230.4144495412844
4.448;229.7874548736462
4.483;229.7874548736462
4.522;229.97980027235587
4.589;229.77008624602814
4.622;229.7321833862914
4.663;229.44761690647482
4.729;229.45143884892087
4.796;229.8688562241617
4.831;229.93086816720256
4.865;229.42377495462796
4.938;229.23162431941924
5.005;229.41697674418606
5.072;229.47149425287355
5.105;229.47149425287355
5.171;229.75034230944775
5.205;229.72820629849383
5.273;229.5402193784278
5.308;229.3841407678245
5.374;229.4216757741348
5.409;229.69467213114754
5.443;229.56075403134227
5.479;229.54417442652738
5.546;229.83612193444878
5.581;230.2010084804034
5.616;229.9801188299817
5.651;229.82289762340037
5.686;229.93671176335704
5.761;229.4902545287778
5.796;229.4902545287778
5.831;229.4360081836781
5.868;229.2823368947488
5.936;229.61527809831526
5.971;229.65405031156243
6.009;229.99746134318025
6.042;229.81504343850023
6.113;229.52789208962048
6.151;229.47708095781073
6.184;229.38380843785632
6.219;229.54990925589837
6.252;229.54990925589837
6.288;229.89294797687862
6.356;229.70543352601155
6.423;229.94543352601156
6.457;229.81954022988506
6.523;229.60605355064027
6.557;229.60605355064027
6.591;229.23563484708063
6.628;229.11167747914735
6.695;229.42707849512308
6.762;229.276358569438
6.797;229.2159926470588
6.831;229.37706801470588
6.868;229.61513538532748
6.902;229.61513538532748
6.937;229.2823420504513
6.973;229.31492606284658
7.012;228.95124768946397
7.052;229.10669162377164
7.119;229.45765091249416
7.186;229.44460160301745
7.255;229.45568128241396
7.3;229.49676674364895
7.366;228.70300230946881
7.4;228.8348474260424
7.435;228.57302585604472
7.468;228.42036011080333
7.503;228.42036011080333
7.541;228.47114496768236
7.608;228.54631994427675
7.645;228.39934989551892
7.712;228.4203373945642
7.778;228.2781990521327
7.845;228.1829383886256
7.878;227.91515863689776
7.914;228.1090481786134
7.982;228.05546415981198
8.015;228.05546415981198
8.083;228.45411764705884
8.118;228.37694117647058
8.152;228.37694117647058
8.185;228.1086448598131
8.219;227.83341121495326
8.293;227.73738317757008
8.328;228.16285046728973
8.393;228.09197559831065
8.427;228.06381980290942
8.494;228.36995728523968
8.529;228.70550545799716
8.563;228.56038761522098
8.6;228.56038761522098
8.634;228.09663962920047
8.667;228.15202780996523
8.701;228.15202780996523
8.768;228.23948517582164
8.836;228.614576033637
8.907;228.67811259051624
8.942;228.6832183908046
8.98;228.54758620689654
9.048;228.40851955307264
9.083;228.59892923649906
9.118;228.60936391581933
