time;interpolated Pixel forehead
9.007;228.49236856493704
9.037;228.4310156294265
9.067;228.51188480978985
9.097;228.60310310822717
9.127;228.62720549888732
9.157;228.6866774424473
9.187;228.74614938600726
9.217;228.806860068084
9.247;228.86776132531716
9.277;228.89917057132874
9.307;228.9208084611709
9.337;228.95678474426416
9.367;229.0189833615257
9.397;229.10822569849023
9.427;228.68968936708234
9.457;228.59178737320838
9.487;228.6634077789287
9.517;228.77616347743918
9.547;228.88279320490517
9.577;228.9572162888913
9.607;228.8706061554779
9.637;228.7839960220645
9.667;228.6351449585222
9.697;228.7401630930847
9.727;228.9415790862014
9.757;229.10507319375765
9.787;229.12579655416567
9.817;229.0588488181074
9.847;228.9919010820491
9.877;228.82037021222084
9.907;228.61700969298434
9.937;228.58801805370686
9.967;228.56399681211397
9.997;228.39795443979546
10.027;228.39795443979546
10.057;228.39795443979546
10.087;228.3983413355329
10.117;228.42251173260283
10.147;228.46041706483192
10.177;228.56282325091135
10.207;228.66694406092586
10.237;228.35790163851743
10.267;228.48527330508898
10.297;228.34310762203043
10.327;228.1448708561355
10.357;227.9821527100605
10.387;227.87667402718262
10.417;227.88632621681566
10.447;227.94828386098058
10.477;227.83180617541166
10.507;227.82597984322507
10.537;227.86591772913448
10.567;227.92169432232544
10.597;227.93934349664082
10.627;227.86802869357987
10.657;227.7967138905189
10.687;227.75677431197843
10.717;227.7325223456982
10.747;227.7435699489646
10.777;227.65284438964878
10.807;227.22917600993344
10.837;226.97682332396954
10.867;227.0242026873887
10.897;227.11769467378986
10.927;227.06072967863906
10.957;226.99903938520654
10.987;227.08979714075832
11.017;227.31669152963778
11.047;227.53831292517006
11.077;227.72565986394557
11.107;227.73190476190476
11.137;227.68206067919107
11.167;227.62224777993464
11.197;227.6612426409278
11.227;227.72927931715373
11.257;227.64676530517738
11.287;227.77712559044178
11.317;227.90748587570621
11.347;227.90748587570621
11.377;228.02594552913698
11.407;228.14278983678278
11.437;228.1396937573616
11.467;228.1396937573616
11.497;228.56185131296334
11.527;228.6744658242897
11.557;228.7394583288045
11.587;228.7942712265338
11.617;228.75746766319392
11.647;228.75256052141526
11.677;228.67146593274182
11.707;228.7239659765956
11.737;228.86809925925314
11.767;228.91663444870738
11.797;228.92419902678878
11.827;228.99146095326813
11.857;229.137428035659
11.887;229.2400316513085
11.917;229.34263526695798
11.947;229.1910293090939
11.977;229.19937641715876
12.007;229.17299802746547
12.037;229.0867090174078
12.067;229.06555126585218
12.097;229.11882923829893
12.127;229.14943473792394
12.157;229.0326691642078
12.187;229.05187759121387
12.217;228.9830896647141
12.247;228.9420930232558
12.277;228.9447212892173
12.307;228.95287318565357
12.337;228.93716766921924
12.367;228.9214621527849
12.397;228.9189538081088
12.427;228.9697334769148
12.457;229.04221967963386
12.487;229.02560570327486
12.517;228.8924761081215
12.547;228.75934651296816
12.577;228.66780186200594
12.607;228.6003327050491
12.637;228.5328635480923
12.667;228.52665725833884
12.697;228.60056394877444
12.727;228.66215285747074
12.757;228.66215285747074
12.787;228.79320192692458
12.817;228.87445551464396
12.847;228.90534979423867
12.877;228.89446332808006
12.907;228.8313271778002
12.937;228.63395137876464
12.967;228.65068144853953
12.997;228.682704794658
13.027;228.65606544293695
13.057;228.60287415466038
13.087;228.45682743152346
13.117;228.19315901489816
13.147;228.15545758589238
13.177;228.1177561568866
13.207;228.31857775647862
13.237;228.5026305414701
13.267;228.5296394028903
13.297;228.47335257342527
13.327;228.41706574396025
13.357;228.41510523349328
13.387;228.48531998376404
13.417;228.05359097674076
13.447;228.0216844925412
13.477;228.05128916569913
13.507;228.08738140417458
13.537;228.15743663925483
13.567;228.23933135196822
13.597;228.26818166456496
13.627;228.2936173055875
13.657;228.31905294661007
13.687;228.3285243888827
13.717;228.36384503536405
13.747;228.41161227211342
13.777;228.45743846431358
13.807;228.5007263674878
13.837;228.53679962013297
13.867;228.53679962013297
13.897;228.33595930818154
13.927;228.12077325966214
13.957;228.25511693542688
13.987;228.49849588239297
14.017;228.56577410555283
14.047;228.42441230048576
14.077;228.45401413948647
14.107;228.48361597848717
14.137;228.70652608358824
14.167;228.85676461219938
14.197;228.83697909034507
14.227;228.6948837593295
14.257;228.55443444398597
14.287;228.43702934805034
14.317;228.37619919537858
14.347;228.52103855750997
14.377;228.58030721313796
14.407;228.40571759964044
14.437;228.2381006378455
14.467;228.18658211794548
14.497;228.18715282181356
14.527;228.10726430619246
14.557;228.06433255838164
14.587;228.0596874746984
14.617;228.05784147032628
14.647;228.05599546595417
14.677;228.0286686096368
14.707;227.9886013273468
14.737;227.93279210158505
14.767;227.7746602432569
14.797;227.61652838492878
14.827;227.28951843739475
14.857;227.22170390375643
14.887;226.9772951786437
14.917;226.91752300956125
14.947;227.09233497156222
14.977;227.17391733369342
15.007;227.24561303385727
15.037;227.17889546647854
15.067;227.11217789909983
15.097;227.0988343856241
15.127;227.20159057795047
15.157;227.29456046624574
15.187;227.3135840974013
15.217;227.37943378695962
15.247;227.03552494944526
15.277;226.80754849786027
15.307;226.6375149655792
15.337;226.5574059064829
15.367;226.62473169073849
15.397;226.68532489656852
15.427;226.68532489656852
15.457;226.76682291448375
15.487;226.84832093239896
15.517;226.87005373717636
15.547;227.0148015317091
15.577;227.18581912336919
15.607;227.26707636765687
15.637;227.35318047255717
15.667;227.42052275138428
15.697;227.22519946518625
15.727;227.02987617898822
