time;interpolated Pixel forehead
3.269;227.63223440158424
3.299;227.6244938938413
3.329;227.45914365240898
3.359;227.54105290282945
3.389;227.62296215324992
3.419;227.58654938519112
3.449;227.53349006690937
3.479;227.43664429530202
3.509;227.43627497169808
3.539;227.61415268129562
3.569;227.75655629139072
3.599;227.7215894039735
3.629;227.52938289882647
3.659;227.4976016157536
3.689;227.51896617015905
3.719;227.55991226962888
3.749;227.6482946085184
3.779;227.74927113702626
3.809;227.78107606679035
3.839;227.81288099655447
3.869;227.6687725141914
3.899;227.51639435015738
3.929;227.52627458637042
3.959;227.61034398073326
3.989;227.61616677757706
4.019;227.67785247563646
4.049;228.01885267977377
4.079;227.98163700022036
4.109;228.07652149571317
4.139;228.1860837884333
4.169;228.13079256970838
4.199;227.99307459526085
4.229;227.9054132523185
4.259;227.87348685454887
4.289;227.82921355841373
4.319;227.83664924973203
4.349;227.94519072156697
4.379;228.07395334950522
4.409;228.14214641080312
4.439;228.14976990546072
4.469;228.14141249659212
4.499;228.11102635816593
4.529;228.22311212814645
4.559;227.75494807962872
4.589;227.68017600741084
4.619;227.83238060006485
4.649;228.01590687136215
4.679;228.1867679473406
4.709;228.31809777025802
4.739;228.31628497190164
4.769;228.31447217354523
4.799;228.1408174172526
4.829;228.10932168021014
4.859;228.09400240591168
4.889;228.10267829470493
4.919;228.2411633433925
4.949;228.2049381550373
4.979;228.1250354074214
5.009;228.04745664007382
5.039;227.97191135546097
5.069;227.9127417442715
5.099;227.85952692341777
5.129;227.78539244073517
5.159;227.73585124788193
5.189;227.7506570459232
5.219;227.784209300972
5.249;227.93961352657004
5.279;227.81931107842453
5.309;227.67931529644017
5.339;227.76969776380156
5.369;227.8261463679722
5.399;227.74992757351825
5.429;227.68866344848394
5.459;227.67633059622688
5.489;227.73425113082948
5.519;227.79217166543208
5.549;227.78244541410885
5.579;227.79002487604095
5.609;227.8292762363617
5.639;227.86856473715105
5.669;227.90785736465912
5.699;227.8577625214542
5.729;227.80345794729234
5.759;227.78457687698008
5.789;227.7991482565877
5.819;227.84011164292272
5.849;227.54526091586794
5.879;227.53562926768151
5.909;227.45690228966987
5.939;227.39986578599763
5.969;227.35090941359587
5.999;227.31324552292827
6.029;227.3873250941311
6.059;227.6266017489039
6.089;227.57118226987038
6.119;227.66569489506435
6.149;227.71302839567628
6.179;227.78786351176785
6.209;227.87036959921477
6.239;227.89765407977285
6.269;227.92493856033093
6.299;227.87936717742858
6.329;227.80283729965302
6.359;227.75486498478702
6.389;227.7818243853402
6.419;227.89722433056664
6.449;227.77358013205037
6.479;227.6499359335341
6.509;227.6334500403986
6.539;227.66133183616085
6.569;227.6391574399136
6.599;227.60099918984608
6.629;227.6203733861791
6.659;227.32142285256776
6.689;227.31639025506118
6.719;227.29469850390117
6.749;227.3230044054899
6.779;227.29579363725705
6.809;227.35556268915823
6.839;227.50256885942642
6.869;227.5428709652914
6.899;227.5831730711564
6.929;227.5352639876409
6.959;227.53085282305693
6.989;227.62239546420977
7.019;227.64387176732285
7.049;227.4660488833942
7.079;227.62625480184013
7.109;227.6974118974075
7.139;227.65525673739816
7.169;227.57610691557286
7.199;227.67962058743248
7.229;227.78313425929213
7.259;227.81083477925583
7.289;227.7670649419045
7.319;227.68
7.349;227.55917859828864
7.379;227.4731733620922
7.409;227.34825199964052
7.439;227.39132596300405
