time;Pixel forehead
0;221.48795454545456
0.901;221.3947974217311
0.968;221.88911335578
1.041;221.41120629775412
1.107;221.10465385505904
1.141;221.07367205542724
1.175;221.12817551963047
1.243;221.39204678362574
1.279;221.31298245614036
1.315;222.0687214611872
1.382;222.03150684931506
1.45;221.44703977798335
1.515;221.54343293954136
1.549;221.7895591647332
1.586;221.52668213457076
1.688;221.45750116117046
1.724;221.15513237343242
1.762;221.18067812354855
1.799;220.955303381195
1.864;220.65956461324689
1.932;221.35573122529644
1.965;221.3694489653569
1.999;222.22630385487528
2.034;222.2702947845805
2.121;221.09614067138617
2.188;221.76214367160776
2.222;222.12884834663626
2.256;222.48209428830464
2.291;222.60562103354488
2.325;222.5856754306437
2.359;222.28934240362813
2.429;222.8154195011338
2.497;221.94585410058903
2.531;221.62732215677391
2.569;221.91777067153953
2.602;221.86888990406578
2.638;222.10935381834614
2.705;222.28535924084952
2.772;222.183957952468
2.846;221.8950214012165
2.882;222.01171435007885
2.916;222.33611173687768
2.95;222.33611173687768
3;222.44974023040433
3.067;221.6977898060442
3.101;221.92625169147496
3.136;222.49695740365112
3.202;222.5641199008339
3.27;222.33874605322507
3.305;222.33874605322507
3.34;222.30465949820788
3.374;222.081541218638
3.421;222.26162402669632
3.487;222.41001112347053
3.522;222.52280311457176
3.557;222.64986619090098
3.59;222.5628902765388
3.623;223.53697460103393
3.658;223.724657226343
3.693;223.61901550910318
3.761;224.32252982219222
3.799;224.2381273914022
3.832;224.3608971454463
3.866;224.50045310376075
3.905;224.31237322515213
3.939;224.21636240703177
4.007;224.08146453089245
4.043;224.02860411899314
4.08;223.8146453089245
4.146;224.025956284153
4.18;224.00455373406194
4.218;224.04978305549213
4.285;223.89312628453985
4.353;223.7632356282663
4.385;224.08888388838884
4.457;224.01724137931035
4.491;224.15199637023593
4.525;224.12817604355718
4.56;223.9335154826958
4.594;223.98201275045537
4.631;224.2101548269581
4.713;223.96250852079072
4.749;223.70302204044535
4.783;223.80298913043478
4.815;223.60552536231884
4.848;223.4188229906114
4.881;223.48087932218914
4.948;223.3700228832952
4.982;223.32906178489702
5.049;223.8173381620643
5.083;223.7351742870077
5.117;223.64253187613843
5.151;223.69444444444446
5.185;223.66712204007285
5.218;223.40822784810126
5.287;223.49683544303798
5.352;223.70327683615818
5.386;223.8393220338983
5.421;223.72481684981685
5.456;223.5521978021978
5.492;223.03053793751468
5.561;222.89147286821705
5.593;223.4118188089216
5.627;223.2658082317774
5.694;222.99977095739808
5.727;223.2285845167201
5.796;223.20972158831583
5.83;223.129392971246
5.866;223.1624828845276
5.9;223.41093071118226
5.934;223.39812485707753
5.97;223.35164835164835
6.014;223.4734432234432
6.089;223.55082041932545
6.124;223.52757520510482
6.158;223.52757520510482
6.191;223.31057168784028
6.226;223.22572595281306
6.26;223.09633649932158
6.293;223.24332881049298
6.326;223.21687019448214
6.36;222.88309636650868
6.394;222.88309636650868
6.438;222.85766010409594
6.472;222.90744512333106
6.514;222.72188277890925
6.55;222.81469648562302
6.598;223.23277042446372
6.632;223.21021431828547
6.666;223.13178294573643
6.703;223.1815091774303
6.738;223.14366644006344
6.772;223.42714932126697
6.812;223.48710407239818
6.855;223.29049773755656
6.921;222.8445701357466
6.954;222.92179144385025
6.987;223.00891265597147
7.021;222.9196949304621
7.088;222.84320323014805
7.121;222.76453291110607
7.157;222.68106763175751
7.196;222.58902245407123
7.273;222.8518018018018
7.307;223.01644144144143
7.342;222.86013513513512
7.376;223.08018018018018
7.413;223.12825193975354
7.481;222.77179370150617
7.548;223.67178676304496
7.583;223.53535125367065
7.616;223.4828128510447
7.684;223.18175690855986
7.785;222.88816674137158
7.853;222.98565665620796
7.926;222.9327655759749
7.966;223.09439002671417
8.033;223.19612644701692
8.071;223.24821905609974
8.139;223.28047683310842
8.204;223.3558254610886
8.238;223.4901427600272
8.273;223.5375028325402
8.307;223.43417176523906
8.341;223.5129781420765
8.408;223.24476320582878
8.455;223.03419384057972
8.489;223.21875
8.529;222.90964673913044
8.562;223.16420286559017
8.598;223.26995678871958
8.63;223.1858085057994
8.666;223.30132376037693
8.7;223.35921023109714
8.735;223.18801089918256
8.77;223.23001816530427
8.817;223.367007963595
8.851;223.367007963595
8.885;223.3037542662116
8.92;223.28100113765643
8.988;223.36936111747195
9.021;223.21639569498512
9.06;223.15983512708954
9.094;223.02391254839443
9.128;223.01320883625598
9.194;223.02238805970148
9.228;222.8491632745364
9.265;222.89102124742973
9.314;222.95544893762852
9.347;223.28930530164533
9.381;223.27833638025595
9.415;223.43291713961406
9.449;223.23745743473324
9.483;223.23745743473324
9.519;223.46708889391542
9.553;223.16512101334538
9.586;223.3537661162633
9.62;223.35902126686486
9.655;223.24239652412533
9.688;223.59425947187142
9.758;223.53593570608496
9.792;223.2056608080347
9.826;223.20725861675416
9.894;223.15329809239256
9.926;223.13973799126637
9.993;222.98051044083527
10.026;222.95800464037123
10.06;223.04547563805104
10.094;223.16524741081705
10.128;223.20368239355582
10.195;223.33202764976957
10.231;223.32281105990782
10.281;223.32868889904066
10.315;223.28825947921425
10.381;223.43777118063485
10.415;223.5069650605161
10.471;223.15903837263062
10.516;223.12340524240315
10.55;222.96149385293435
10.584;222.85223845975412
10.652;223.0276102088167
10.686;223.03735498839907
10.725;222.86218097447795
10.759;222.91536488692003
10.829;223.2710344827586
10.864;223.20528735632183
10.901;223.35977011494253
10.936;223.2537002775208
10.97;223.3950046253469
11.037;223.2341306347746
11.072;223.35809567617295
11.111;223.5719871205152
11.151;223.51655629139074
11.194;223.8787394382279
11.227;223.87919616350766
11.261;223.90111897693538
11.295;223.74147339699863
11.329;223.57344247385174
11.422;223.2709677419355
11.457;223.15184331797235
11.491;222.76162790697674
11.524;222.79093023255814
11.558;222.98547717842322
11.592;222.8529276164131
