time;interpolated Pixel leftCheek
0;215.382906626506
0.024;215.3768602251247
0.054;215.36930222339802
0.084;215.36174422167136
0.114;215.3541862199447
0.144;215.34662821821803
0.174;215.33907021649134
0.204;215.33151221476467
0.234;215.323954213038
0.264;215.31639621131134
0.294;215.30883820958468
0.324;215.301280207858
0.354;215.29372220613135
0.384;215.28616420440468
0.414;215.27860620267802
0.444;215.27104820095136
0.474;215.2634901992247
0.504;215.25593219749803
0.534;215.24837419577136
0.564;215.2408161940447
0.594;215.23325819231803
0.624;215.22570019059137
0.654;215.2181421888647
0.684;215.21058418713804
0.714;215.20302618541137
0.744;215.19546818368468
0.774;215.18791018195802
0.804;215.18035218023135
0.834;215.1727941785047
0.864;215.16523617677802
0.894;217.00478423700247
0.924;218.9762684445091
0.954;220.71628672580147
0.984;221.29897537602236
1.014;221.88166402624324
1.044;221.4171728533933
1.074;221.18903207590117
1.104;221.05558880619336
1.134;221.0268532526475
1.164;221.25052189999093
1.194;221.58739729849327
1.224;221.86484455389453
1.254;222.14024256298197
1.284;222.34664420421495
1.314;222.53204695088354
1.344;222.65743048897411
1.374;222.79674017257912
1.404;222.90361937128293
1.434;222.48152376247887
1.464;222.5976959667068
1.494;222.71386817093475
1.524;222.59593642850524
1.554;222.52126680321837
1.584;222.47072529804248
1.614;222.47260101010102
1.644;222.5589814107461
1.674;222.72023257787964
1.704;222.84065779421817
1.734;222.95087652285795
1.764;223.1623180096027
1.794;223.56027070473618
1.824;223.36118945327024
1.854;223.16210820180433
1.884;223.48753723941908
1.914;223.3813703157801
1.944;223.287975617987
1.974;223.35718794418477
2.004;223.43550542837087
2.034;223.32484730373488
2.064;223.2141891790989
2.094;223.1035310544629
2.124;223.48913055437887
2.154;223.9101770274771
2.184;224.19844432657962
2.214;224.42980626539827
2.244;224.4012839224147
2.274;224.32484571805452
2.304;224.54266508333686
2.334;224.50536476140982
2.364;224.9210921306464
2.394;225.33681949988298
2.424;225.79106718940625
2.454;226.16025909574296
2.484;226.27551679429718
2.514;226.17864062583462
2.544;226.08176445737206
2.574;226.0525249634108
2.604;225.86594177481587
2.634;225.6046218657371
2.664;225.6335905775534
2.694;225.65966241818808
2.724;225.65966241818808
2.754;225.79154132785436
2.784;225.94204406254522
2.814;226.08922452998948
2.844;226.086040852857
2.874;225.93800039941178
2.904;225.80510520869265
