time;interpolated Pixel rightCheek
0;203.09716599190284
0.029;203.07161727104702
0.059;203.04518755981687
0.089;203.01875784858672
0.119;202.99232813735657
0.149;202.96589842612642
0.179;202.93946871489626
0.209;202.9130390036661
0.239;202.88660929243596
0.269;202.8601795812058
0.299;202.83374986997566
0.329;202.8073201587455
0.359;202.78089044751536
0.389;202.7544607362852
0.419;202.72803102505506
0.449;202.7016013138249
0.479;202.67517160259476
0.509;202.6487418913646
0.539;202.62231218013446
0.569;202.5958824689043
0.599;202.56945275767416
0.629;202.543023046444
0.659;202.51659333521386
0.689;202.4901636239837
0.719;202.46373391275355
0.749;202.4373042015234
0.779;202.41087449029325
0.809;202.3844447790631
0.839;202.35801506783295
0.869;202.3315853566028
0.899;202.30515564537265
0.929;202.2057903012705
0.959;202.10390993534517
0.989;201.6284079434534
1.019;202.13539725004105
1.049;202.5567989984967
1.079;202.24514525265508
1.109;202.00017572600348
1.139;202.02194307611202
1.169;202.04371042622057
1.199;201.96301421542495
1.229;201.87878477839126
1.259;201.95298809074743
1.289;201.74103707241156
1.319;201.5289573942126
1.349;201.5322727933692
1.379;201.52844447196304
1.409;201.51325757575756
1.439;201.52462121212122
1.469;201.51125017635084
1.499;201.49577429778773
1.529;201.47984317447404
1.559;201.30745018469383
1.589;201.05114128130504
1.619;201.27172635386322
1.649;201.4923114264214
1.679;201.62084486844986
1.709;201.91363657809578
1.739;201.96134312337182
1.769;201.6767213909954
1.799;201.4131279794646
1.829;201.44393105977264
1.859;201.47473414008067
1.889;200.98256665876355
1.919;200.23916935195132
1.949;199.6825888250037
1.979;199.69945083296477
2.009;200.20837710985222
2.039;199.95863976896555
2.069;199.70890242807891
2.099;199.69948087457814
2.129;199.70722473446207
2.159;199.5303836717445
2.189;199.142588411768
2.219;198.22184949953044
2.249;197.28273321997355
2.279;196.66215766515268
2.309;196.27510645240545
2.339;195.99892025521862
2.369;195.72273405803176
2.399;195.72601692916535
2.429;195.73893666472378
2.459;195.74489795918367
2.489;195.4360439967198
2.519;195.04325699745547
2.549;195.06842898159496
2.579;195.3201488229899
2.609;195.57186866438485
2.639;195.4401715150496
2.669;195.52294842537654
2.699;195.788032861707
2.729;195.77073507281892
2.759;195.13570309352195
2.789;195.5329811523481
2.819;195.66867340711542
2.849;196.2176850729377
2.879;196.66753078418662
2.909;196.3557316772743
2.939;195.66665879463443
2.969;195.76754675987155
2.999;195.86015437783672
3.029;195.83683713399492
3.059;196.2987004548408
3.089;196.5102224257696
3.119;196.63500614749125
3.149;196.79605051820042
3.179;197.0286454561143
3.209;197.37719298245614
3.239;197.47150556128884
3.269;197.6053204907694
3.299;197.6375763910214
3.329;197.63069181347575
3.359;197.53081700907788
3.389;197.32466765970602
3.419;197.2586292641142
3.449;197.3196310863469
3.479;197.416880510988
3.509;197.4221566699443
3.539;198.4329954884204
3.569;198.9006770932672
3.599;199.1682046650436
3.629;199.2102431847605
3.659;199.0950199172011
3.689;198.94247064024822
3.719;198.68727483746318
3.749;198.43554752640355
3.779;198.23237909949972
3.809;198.28778408130853
3.839;198.30402328529178
3.869;198.32813482935074
3.899;198.3980115253616
3.929;198.48187978501275
3.959;198.4965248240662
3.989;198.51116986311962
4.019;198.95080299082474
4.049;198.95563155705503
4.079;198.6637436810595
4.109;198.41308728915388
4.139;198.35798971816206
4.169;198.3028921471702
4.199;198.34826834917092
4.229;198.3645688888889
4.259;198.33965127673363
4.289;199.22747893713546
4.319;199.2637909343906
4.349;199.30010293164577
4.379;199.19801542305257
4.409;199.07003062505893
4.439;198.96996560264853
4.469;198.8493716681279
4.499;198.72042213370082
4.529;198.97560010852214
4.559;198.98196026295346
4.589;198.93855685330678
4.619;198.8980470043032
4.649;198.8980470043032
4.679;198.90915346957266
4.709;198.8240483283681
4.739;198.73856569455464
4.769;198.90156255925967
4.799;199.09811506807753
4.829;199.22334289990982
4.859;199.34347611195747
4.889;199.24613675657758
4.919;198.94757839763892
4.949;198.70996395246556
4.979;198.8369037957956
5.009;198.92578859484914
5.039;199.01467339390265
5.069;199.11112486431932
5.099;199.18788074987492
5.129;199.24056034609612
5.159;199.08692023768413
5.189;198.4518674851281
5.219;198.43976309059093
5.249;198.37324229226644
5.279;198.26909409324276
5.309;198.23551319648095
5.339;198.2825806451613
5.369;198.68062639420916
5.399;198.45901453422437
5.429;198.2586973771333
5.459;198.12590090794723
5.489;198.1358700750469
5.519;198.15076219512196
5.549;198.1881543128257
5.579;198.29947499416662
5.609;198.12077294685992
5.639;198.01500127129418
