Count;Frequencies forehead
45.585;66.40625000000001
46.053;66.40625000000001
46.577;66.40625000000001
47.012;56.64062500000001
47.492;56.64062500000001
47.974;66.40625000000001
48.488;66.40625000000001
48.961;66.40625000000001
49.456;66.40625000000001
49.899;66.40625000000001
50.388;66.40625000000001
50.867;66.40625000000001
51.373;66.40625000000001
51.842;66.40625000000001
52.292;66.40625000000001
52.788;66.40625000000001
53.28;64.453125
53.76;44.92187500000001
54.221;44.92187500000001
54.715;44.92187500000001
55.181;44.92187500000001
55.679;103.515625
56.157;56.64062500000001
56.626;56.64062500000001
57.112;56.64062500000001
57.578;56.64062500000001
58.076;56.64062500000001
58.553;56.64062500000001
59.009;56.64062500000001
59.495;56.64062500000001
59.986;56.64062500000001
60.461;56.64062500000001
60.968;56.64062500000001
61.411;56.64062500000001
61.893;56.64062500000001
62.393;56.64062500000001
62.894;56.64062500000001
63.361;56.64062500000001
63.818;56.64062500000001
64.306;56.64062500000001
64.771;56.64062500000001
65.256;109.375
65.733;109.375
66.287;109.375
66.69;109.375
67.204;109.375
67.65;109.375
68.19;109.375
68.615;109.375
69.098;109.375
69.578;109.375
70.059;109.375
70.547;109.375
71.068;109.375
71.542;101.56250000000001
72.002;101.56250000000001
72.45;101.56250000000001
72.992;101.56250000000001
73.43;101.56250000000001
73.894;101.56250000000001
74.39;101.56250000000001
74.868;119.14062500000001
75.344;119.14062500000001
75.825;119.14062500000001
76.317;119.14062500000001
76.771;119.14062500000001
77.27;109.375
77.751;109.375
78.232;109.375
78.69;109.375
79.192;109.375
79.658;109.375
80.151;109.375
80.61;109.375
81.107;109.375
81.575;109.375
82.09;109.375
82.549;109.375
83.049;109.375
83.497;109.375
83.987;109.375
84.467;109.375
84.948;109.375
85.414;109.375
85.934;109.375
86.378;109.375
86.856;109.375
87.34;115.234375
87.839;115.234375
88.3;115.234375
88.783;115.234375
89.267;115.234375
89.746;115.234375
90.232;115.234375
90.691;115.234375
91.183;115.234375
91.704;115.234375
92.163;115.234375
92.671;115.234375
93.136;113.28125000000001
93.575;113.28125000000001
94.088;113.28125000000001
94.567;113.28125000000001
95.02;113.28125000000001
95.498;113.28125000000001
96.027;113.28125000000001
96.451;113.28125000000001
96.956;113.28125000000001
97.436;113.28125000000001
97.918;113.28125000000001
98.393;117.18750000000001
98.902;117.18750000000001
99.367;117.18750000000001
99.823;117.18750000000001
100.306;117.18750000000001
100.791;117.18750000000001
101.329;117.18750000000001
101.73;117.18750000000001
102.221;117.18750000000001
102.742;117.18750000000001
103.181;117.18750000000001
103.68;117.18750000000001
104.151;117.18750000000001
104.62;117.18750000000001
105.111;117.18750000000001
105.6;46.875
106.088;46.875
106.546;46.875
107.017;46.875
107.542;46.875
108.04;46.875
108.487;46.875
108.949;46.875
109.434;46.875
109.906;46.875
110.392;46.875
110.904;46.875
111.334;46.875
111.825;46.875
112.349;46.875
112.805;46.875
113.261;46.875
113.77;46.875
114.286;46.875
114.694;46.875
115.196;46.875
115.656;46.875
116.13;46.875
116.613;46.875
117.095;46.875
117.609;46.875
118.177;46.875
118.532;46.875
119.02;58.59375000000001
119.502;58.59375000000001
120.028;58.59375000000001
120.472;58.59375000000001
120.991;58.59375000000001
121.454;58.59375000000001
121.939;58.59375000000001
122.393;58.59375000000001
122.855;58.59375000000001
123.36;58.59375000000001
123.816;58.59375000000001
124.303;58.59375000000001
124.785;58.59375000000001
125.299;109.375
125.752;109.375
126.238;109.375
126.743;109.375
127.185;107.42187500000001
127.655;107.42187500000001
128.195;107.42187500000001
128.609;107.42187500000001
129.133;107.42187500000001
129.616;107.42187500000001
130.102;107.42187500000001
130.565;107.42187500000001
131.027;107.42187500000001
131.492;107.42187500000001
131.969;107.42187500000001
132.482;107.42187500000001
132.957;107.42187500000001
133.411;107.42187500000001
133.894;107.42187500000001
134.374;107.42187500000001
134.85;107.42187500000001
135.347;107.42187500000001
135.816;107.42187500000001
136.309;107.42187500000001
136.773;107.42187500000001
137.263;107.42187500000001
137.75;113.28125000000001
138.225;113.28125000000001
138.723;113.28125000000001
139.17;113.28125000000001
139.654;113.28125000000001
140.184;113.28125000000001
140.652;113.28125000000001
141.099;113.28125000000001
141.578;113.28125000000001
142.071;113.28125000000001
142.595;113.28125000000001
143.012;113.28125000000001
143.523;113.28125000000001
143.999;113.28125000000001
144.452;119.14062500000001
144.962;119.14062500000001
145.472;119.14062500000001
145.928;119.14062500000001
146.387;119.14062500000001
146.881;119.14062500000001
147.34;58.59375000000001
147.838;58.59375000000001
148.321;58.59375000000001
148.801;58.59375000000001
149.261;58.59375000000001
149.792;58.59375000000001
150.216;58.59375000000001
150.769;58.59375000000001
151.179;58.59375000000001
151.715;58.59375000000001
152.131;70.3125
152.667;70.3125
153.114;70.3125
153.576;70.3125
154.061;70.3125
154.555;70.3125
155.01;70.3125
155.517;70.3125
156.031;70.3125
156.474;70.3125
156.967;70.3125
157.423;70.3125
157.934;52.73437500000001
158.41;52.73437500000001
158.859;52.73437500000001
159.392;52.73437500000001
159.824;52.73437500000001
160.291;52.73437500000001
160.786;52.73437500000001
161.252;52.73437500000001
161.763;52.73437500000001
162.22;52.73437500000001
162.715;52.73437500000001
163.204;52.73437500000001
163.706;52.73437500000001
164.187;52.73437500000001
164.636;52.73437500000001
165.114;52.73437500000001
165.573;52.73437500000001
166.088;52.73437500000001
166.593;52.73437500000001
167.036;52.73437500000001
167.551;52.73437500000001
167.992;52.73437500000001
168.547;52.73437500000001
168.963;52.73437500000001
169.436;52.73437500000001
169.907;52.73437500000001
170.423;52.73437500000001
170.872;52.73437500000001
171.35;52.73437500000001
171.842;52.73437500000001
172.321;52.73437500000001
172.778;52.73437500000001
173.281;52.73437500000001
173.736;52.73437500000001
174.226;107.42187500000001
174.722;107.42187500000001
175.173;107.42187500000001
175.672;107.42187500000001
176.142;107.42187500000001
176.616;107.42187500000001
177.104;107.42187500000001
177.591;107.42187500000001
178.068;107.42187500000001
178.53;107.42187500000001
179.019;91.796875
179.492;91.796875
180.005;91.796875
