time;Pixel rightCheek
0;209.8094330633635
1.059;209.35628310062592
1.259;209.3909484833895
1.293;210.6357074109721
1.36;211.20500481231954
1.394;209.60479616306955
1.432;208.6925659472422
1.501;207.93221957040572
1.568;209.30644391408114
1.602;210.99063231850118
1.637;210.4702576112412
1.704;209.14899713467048
1.739;209.4297994269341
1.806;209.7808411214953
1.89;209.2783155856728
1.925;209.10939012584706
1.964;209.04211035818005
1.998;209.89918386941912
2.031;210.0614498319731
2.067;210.1003770028275
2.135;210.10179076343073
2.171;209.8959427207637
2.223;209.90501193317422
2.262;209.8033412887828
2.33;209.92671394799055
2.397;209.60482725982015
2.433;209.4609559867487
2.466;209.61617100371748
2.499;209.46096654275092
2.533;209.23373605947955
2.578;209.48905449464368
2.645;209.1860902255639
2.713;208.3688909774436
2.779;208.70172978027117
2.813;208.89574567554934
2.849;209.22651162790697
2.883;209.86093023255813
2.957;210.1238095238095
3;210.46761904761905
3.038;210.50928129462162
3.107;210.47358400761541
3.141;210.32815442561204
3.176;210.29048964218455
3.243;209.77570540411287
3.279;209.52367288378767
3.326;209.37171052631578
3.36;209.14003759398497
3.426;209.74483082706766
3.46;209.62077067669173
3.526;211.15247895229186
3.56;211.4752104770814
3.594;211.0492264416315
3.63;211.56821378340365
3.667;211.33755274261603
3.702;211.11772983114446
3.735;211.1482176360225
3.77;211.12322274881515
3.803;211.67725118483412
3.873;210.9890943575154
3.917;211.92366050260787
3.986;212.37316263632053
4.019;212.7799905168326
4.053;212.8217164532954
4.087;212.65673076923076
4.123;212.65673076923076
4.158;211.07310081223125
4.224;211.87338748208313
4.258;211.68906767628962
4.292;211.93894936109797
4.359;210.7932647333957
4.392;211.0261927034612
4.426;209.60678925035361
4.498;209.73974540311173
4.532;209.78886198547215
4.565;209.62033898305086
4.635;209.74430992736077
4.669;210.26641111643508
4.704;210.4638236703402
4.742;210.47932330827066
4.789;210.06531954887217
4.825;210.0610902255639
4.859;210.77863702271628
4.894;211.23924601256647
4.928;211.14652195362603
4.961;211.10952146028615
4.997;211.22150962012827
5.031;211.0850652489125
5.065;211.25857902368293
5.099;211.10971483808603
5.134;211.4418828049952
5.175;211.29923150816524
5.208;211.5696445725264
5.242;211.42459173871276
5.278;211.65206929740134
5.315;211.43214629451396
5.348;210.26358826358828
5.384;210.01106301106302
5.423;210.26089060987417
5.457;210.25895450145208
5.491;210.1573088092933
5.53;210.3402710551791
5.574;210.73689227836033
5.625;210.89037178265013
5.659;211.36030828516377
5.693;211.2398843930636
5.726;211.51608257321172
5.762;211.32405184829574
5.796;210.99615938550167
5.83;210.73279158699808
5.863;210.65630975143404
5.9;210.75908221797323
5.934;210.70395049976202
5.969;211.0318895763922
6.047;211.54472693032014
6.114;211.37853107344634
6.152;210.74952290076337
6.219;211.27003816793894
6.286;211.34283000949668
6.353;211.29249762583095
6.403;210.69440459110473
6.443;210.35007173601147
6.51;210.58632233381158
6.544;211.11084793936524
6.584;210.98342018000946
6.652;210.92597831211694
6.689;211.12776991984913
6.757;211.0485162505888
6.84;210.46785886901884
6.918;210.7791203479942
6.953;210.91062801932367
6.987;210.92608695652174
7.022;211.11688311688312
7.056;210.7970177970178
7.09;210.7825877825878
7.124;210.99176356589146
7.159;210.8372093023256
7.205;210.8372093023256
7.242;210.59893822393823
7.309;210.3296332046332
7.349;210.22249151720794
7.384;210.01987396994667
7.418;210.2004716981132
7.453;210.00141509433962
7.487;210.47682119205297
7.523;210.1693472090823
7.591;210.86975190839695
7.624;210.83826335877862
7.691;210.9270038167939
7.726;210.82059800664453
7.759;211.10488846701472
7.798;210.57410004675083
