time;interpolated Pixel leftCheek
0;206.95002402691014
0.024;206.95466685176805
0.054;206.96047038284047
0.084;206.96627391391286
0.114;206.97207744498525
0.144;206.97788097605763
0.174;206.98368450713005
0.204;206.98948803820244
0.234;206.99529156927483
0.264;207.00109510034721
0.294;207.00689863141963
0.324;207.01270216249202
0.354;207.0185056935644
0.384;207.02430922463682
0.414;207.0301127557092
0.444;207.0359162867816
0.474;207.041719817854
0.504;207.0475233489264
0.534;207.0533268799988
0.564;207.05913041107118
0.594;207.0649339421436
0.624;207.07073747321598
0.654;207.07654100428837
0.684;207.08234453536076
0.714;207.08814806643318
0.744;207.09395159750557
0.774;207.09975512857795
0.804;207.10555865965037
0.834;207.11136219072276
0.864;207.11716572179515
0.894;207.12296925286753
0.924;207.12877278393995
0.954;207.13457631501234
0.984;207.14037984608473
1.014;207.14618337715714
1.044;207.15198690822953
1.074;207.15862778315585
1.104;207.1661060019361
1.134;207.17358422071635
1.164;207.1810624394966
1.194;207.18854065827685
1.224;207.1960188770571
1.254;207.20349709583735
1.284;207.4084651446192
1.314;207.55906059223534
1.344;207.66942579678027
1.374;207.58526700345348
1.404;207.17543859649123
1.434;206.58632478632478
1.464;206.38119658119658
1.494;206.17606837606837
1.524;206.4241564311967
1.554;206.81017986988135
1.584;207.3034224684121
1.614;207.6543259557344
1.644;207.61184678097692
1.674;207.44073567717788
1.704;207.26962457337885
1.734;207.28299784077453
1.764;207.1210020940914
1.794;206.92393254459253
1.824;206.82313803204872
1.854;206.78652687747493
1.884;206.74991572290116
1.914;206.40156802886284
1.944;206.1903712282537
1.974;206.19730487054028
2.004;206.42939943822728
2.034;206.76382681765222
2.064;206.65319847627353
2.094;206.82070707070707
2.124;207.01911976911978
2.154;206.9926987487374
2.184;206.92737697085522
2.214;206.98140321217244
2.244;207.09563012238598
2.274;207.23106861710727
2.304;207.3596240585855
2.334;207.49622400892105
2.364;207.68511326682926
2.394;207.8740025247375
2.424;207.92567243035543
2.454;208.04061207118943
2.484;208.0577483789547
2.514;207.984062174415
2.544;207.82591255926647
2.574;207.5273765084909
2.604;207.3231031171287
2.634;207.13333167336856
2.664;206.93520876476185
2.694;206.73225079755974
2.724;206.61321847098108
2.754;206.6391486145702
2.784;206.68034612024013
2.814;206.8030913348916
2.844;207.07695260828123
2.874;207.1137584841629
2.904;207.10504472159516
2.934;207.0971415766212
2.964;207.0884430692795
2.994;207.07713122844373
3.024;207.34624492564623
3.054;207.49455741253357
3.084;207.47582575394927
3.114;207.48635065702857
3.144;207.58953972042278
3.174;207.66154790317083
3.204;207.73048932720926
3.234;207.79921169705415
3.264;207.82705751509374
3.294;207.8244983203391
3.324;207.80905263499253
3.354;207.676667228496
3.384;207.45597200551205
3.414;207.21528753771253
3.444;207.0469695701894
3.474;206.97027301520302
3.504;206.94315026481
3.534;206.98696237312848
3.564;207.15947979058993
3.594;206.90062111801242
3.624;206.7493231406275
3.654;206.50646298472387
3.684;206.27837684347708
3.714;206.08058447808207
3.744;205.95657538021663
3.774;206.03349129747983
3.804;206.3277873948298
3.834;206.52008929711326
3.864;206.71239119939673
3.894;206.69524246796973
3.924;206.60615122933964
3.954;206.5756181553283
3.984;206.54508508131696
4.014;206.75772151529725
4.044;206.853705118411
4.074;207.34925215580824
4.104;207.6431718061674
4.134;207.88661131142499
4.164;208.45156339078193
4.194;208.6206200938473
4.224;208.7896767969127
4.254;208.87887534715904
4.284;208.84161146333835
4.314;208.97757326490043
4.344;209.18360104626976
4.374;209.4091790847368
4.404;209.5999371254144
4.434;209.73173316377893
4.464;209.92566099719176
4.494;210.11958883060456
4.524;210.45533252329116
4.554;210.44574398960364
4.584;210.42726956279586
4.614;210.4809454191033
4.644;210.55811783650657
4.674;210.6959972394755
4.704;210.86328502415458
4.734;210.83545580672802
4.764;210.62082359693355
4.794;210.3653527081995
4.824;210.245330229073
4.854;210.34766359254462
4.884;210.70231679148878
4.914;210.914063071067
4.944;211.00559215341823
4.974;211.05395866881375
5.004;211.03348467351853
5.034;210.8853344471971
5.064;210.7768767644178
5.094;210.59782796566228
5.124;210.5107846898385
5.154;210.4068050324926
5.184;210.4165965549307
5.214;210.6796939915762
5.244;210.71153413262678
5.274;210.52726409572534
5.304;210.50166187745805
5.334;210.62715295573358
5.364;210.53216374269007
5.394;210.29014118120023
5.424;210.26594903090918
5.454;210.17525569305533
5.484;210.34888681697464
5.514;210.4208970664302
5.544;210.48130647464643
5.574;210.57401960784313
5.604;210.76231257208767
5.634;210.85407810182897
5.664;210.7608033043726
5.694;210.8526004740234
5.724;210.48388345985904
5.754;210.43631567614125
5.784;210.28428522571818
5.814;210.13257442827197
5.844;210.1643492035554
5.874;210.29577980691244
5.904;210.308652873755
5.934;210.38734419942475
5.964;210.2299684974661
5.994;210.31619252816122
6.024;210.45113650538707
6.054;210.5437889915502
6.084;210.49748372136432
6.114;210.45117845117846
6.144;210.586832002797
6.174;210.70108856394683
6.204;210.80756440128982
6.234;210.82457609281195
6.264;210.75212363851324
6.294;210.7357929507527
6.324;210.87379712097217
6.354;211.00624278110382
6.384;210.97749164868802
6.414;210.87583616093067
6.444;210.65507412043033
6.474;210.63206748612728
6.504;210.60906085182427
6.534;210.47531687759442
6.564;210.47935669707152
6.594;210.55845946498755
6.624;210.6222200010928
6.654;210.69362803036273
6.684;210.8721009639377
6.714;210.83830953513794
6.744;210.7620652338632
6.774;210.72370400682254
6.804;210.71431218949022
6.834;210.70492037215791
6.864;210.7586078817368
6.894;210.8280652230435
6.924;210.80691656200787
6.954;210.44456905736558
6.984;210.6977513598385
7.014;210.76543639225102
7.044;210.72496707115434
7.074;210.6370260348065
7.104;210.63744153917293
7.134;210.5996565934066
7.164;210.31634615384615
