BPM
79
79
79
79
79
79
78
78
76
75
76
77
78
79
79
79
78
77
77
77
79
80
82
83
85
86
86
87
86
86
86
86
87
88
88
87
86
85
84
83
82
82
83
83
84
84
84
84
84
84
85
85
85
86
85
85
86
86
86
86
86
85
84
83
83
83
83
84
84
83
83
82
82
82
82
83
84
85
86
87
87
87
86
86
85
85
84
84
84
84
85
85
86
86
85
85
84
83
83
83
84
85
85
86
84
83
83
82
82
81
82
82
84
85
86
86
86
86
86
85
86
86
86
87
86
85
84
84
83
83
84
85
86
86
87
87
86
85
84
84
83
83
83
83
83
83
82
82
81
81
81
82
82
82
83
83
84
85
86
87
88
89
89
89
88
87
86
85
85
85
86
86
87
87
87
87
87
87
87
87
88
